安眠穴	anmianxue
悬钟绝骨	xuanzhongjuegu
悬钟穴	xuanzhongxue
血海	xuehai
血海穴	xuehaixue
穴名	xueming
穴位名	xueweiming
血压点	xueyadian
血压点穴	xueyadianxue
哑门	yamen
哑门穴	yamenxue
牙痛点	yatongdian
牙痛奇穴	yatongqixue
牙痛穴	yatongxue
牙穴	yaxue
眼二	yaner
咽喉	yanhou
眼区	yanqu
眼穴	yanxue
眼一	yanyi
阳白	yangbai
阳白穴	yangbaixue
阳池	yangchi
阳池穴	yangchixue
阳辅	yangfu
阳辅穴	yangfuxue
阳纲	yanggang
阳纲穴	yanggangxue
阳谷	yanggu
阳谷穴	yangguxue
阳交	yangjiao
阳交穴	yangjiaoxue
养老	yanglao
养老穴	yanglaoxue
阳陵泉	yanglingquan
阳陵泉穴	yanglingquanxue
阳跷脉	yangqiaomai
阳维脉	yangweimai
阳溪	yangxi
阳溪穴	yangxixue
腰骶椎	yaodizhui
腰肌	yaoji
腰奇	yaoqi
腰奇穴	yaoqixue
腰俞穴	yaoyuxue|yaoshuxue
腰痛点	yaotongdian
腰痛点穴	yaotongdianxue
腰眼	yaoyan
腰眼穴	yaoyanxue
腰阳关	yaoyangguan
腰阳关穴	yaoyangguanxue
腰宜	yaoyi
腰宜穴	yaoyixue
腰俞	yaoyu|yaoshu
液门	yemen
液门穴	yemenxue
胰胆	yidan
翳风	yifeng
翳风穴	yifengxue
翳明	yiming
翳明穴	yimingxue
意舍	yishe
意舍穴	yishexue
譩譆	yixi
譩譆穴	yixixue
隐白	yinbai
隐白穴	yinbaixue
阴包	yinbao
阴包穴	yinbaoxue
阴都	yindu
阴都穴	yinduxue
阴谷	yingu
阴谷穴	yinguxue
阴交	yinjiao
龈交	yinjiao
阴交穴	yinjiaoxue
龈交穴	yinjiaoxue
阴廉	yinlian
阴廉穴	yinlianxue
阴陵泉	yinlingquan
阴陵泉穴	yinlingquanxue
殷门	yinmen
殷门穴	yinmenxue
阴跷脉	yinqiaomai
阴市	yinshi
阴市穴	yinshixue
印堂	yintang
印堂穴	yintangxue
阴维脉	yinweimai
阴郄	yinxi
阴郄穴	yinxixue
膺窗	yingchuang
膺窗穴	yingchuangxue
迎香	yingxiang
迎香穴	yingxiangxue
涌泉	yongquan
涌泉穴	yongquanxue
幽门	youmen
幽门穴	youmenxue
俞府	yufu|shufu
俞府穴	yufuxue
鱼际	yuji
鱼际穴	yujixue
玉堂	yutang
玉堂穴	yutangxue
鱼腰	yuyao
鱼腰穴	yuyaoxue
玉液	yuye
玉液穴	yuyexue
玉枕	yuzhen
玉枕穴	yuzhenxue
彧中	yuzhong
彧中穴	yuzhongxue
原穴	yuanxue
渊液	yuanye
渊腋	yuanye
渊腋穴	yuanyexue
缘中	yuanzhong
云门	yunmen
云门穴	yunmenxue
章门	zhangmen
章门穴	zhangmenxue
照海	zhaohai
照海穴	zhaohaixue
辄筋	zhejin
辄筋穴	zhejinxue
枕区	zhenqu
枕小神经点	zhenxiaoshenjingdian
枕穴	zhenxue
正营	zhengying
正营穴	zhengyingxue
秩边	zhibian
秩边穴	zhibianxue
直肠	zhichang
支点	zhidian
支沟	zhigou
支沟穴	zhigouxue
支气管	zhiqiguan
指区	zhiqu
趾区	zhiqu
志室	zhishi
志室穴	zhishixue
指穴	zhixue
趾穴	zhixue
至阳	zhiyang
至阳穴	zhiyangxue
至阴	zhiyin
至阴穴	zhiyinxue
支正	zhizheng
支正穴	zhizhengxue
中背	zhongbei
中冲	zhongchong
中冲穴	zhongchongxue
中渎	zhongdu
中都	zhongdu
中渎穴	zhongduxue
中都穴	zhongduxue
中封	zhongfeng
中封穴	zhongfengxue
中府	zhongfu
中府穴	zhongfuxue
中极	zhongji
中极穴	zhongjixue
中魁	zhongkui
中魁穴	zhongkuixue
中髎	zhongliao
中髎穴	zhongliaoxue
肿瘤特异区	zhongliuteyiqu
中膂俞	zhonglvyu|zhonglvshu
中膂俞穴	zhonglvyuxue
中平	zhongping
中平穴	zhongpingxue
中泉	zhongquan
中泉穴	zhongquanxue
中枢	zhongshu
中枢穴	zhongshuxue
中庭	zhongting
中庭穴	zhongtingxue
中脘	zhongwan
中脘穴	zhongwanxue
中注	zhongzhu
中渚	zhongzhu
中注穴	zhongzhuxue
中渚穴	zhongzhuxue
肘尖	zhoujian
肘尖穴	zhoujianxue
肘髎	zhouliao
肘髎穴	zhouliaoxue
肘区	zhouqu
周荣	zhourong
