安永	anyong
芳春院	fangchunyuan
芳贺高定	fanghegaoding
芳贺高继	fanghegaoji
飞驒	feituo
肥后	feihou
肥前之熊	feiqianzhixiong
分部光嘉	fenbuguangjia
丰臣国松	fengchenguosong
丰臣完子	fengchenwanzi
丰臣秀次	fengchenxiuci
丰臣秀胜	fengchenxiusheng
丰臣秀长	fengchenxiuchang
丰前	fengqian
风魔小太郎	fengmoxiaotailang
蜂须贺家政	fengxuhejiazheng
蜂须贺小六	fengxuhexiaoliu
蜂须贺正胜	fengxuhezhengsheng
服部半藏	fububanzang|fububancang
福留亲政	fuliuqinzheng
福留仪重	fuliuyizhong
福原贞俊	fuyuanzhenjun
府中三人众	fuzhongsanrenzhong
富田景胜	futianjingsheng
富田景政	futianjingzheng
富田隆实	futianlongshi
富田势源	futianshiyuan
富田重政	futianzhongzheng
富永山随	fuyongshansui
甘利昌忠	ganlichangzhong
甘糟景持	ganzaojingchi
甘糟景继	ganzaojingji
肝付兼护	ganfujianhu
肝付良兼	ganfuliangjian
冈本禅哲	gangbenchanzhe
冈本赖氏	gangbenlaishi
冈本随缘斋	gangbensuiyuanzhai
冈部元信	gangbuyuanxin
冈部贞纲	gangbuzhengang
冈部正纲	gangbuzhenggang
冈吉正	gangjizheng
冈利胜	ganglisheng
冈田重孝	gangtianzhongxiao
高坂昌信	gaobanchangxin
高坂甚内	gaobanshennei
高岛政重	gaodaozhengzhong
高梨政赖	gaolizhenglai
高力清长	gaoliqingchang
高桥鉴种	gaoqiaojianzhong
高山友照	gaoshanyouzhao
高山右近	gaoshanyoujin
高台院	gaotaiyuan
高野山	gaoyeshan
高远赖继	gaoyuanlaiji
镐团右卫门	gaotuanyouweimen
镐直政	gaozhizheng
葛山氏元	geshanshiyuan
葛西晴信	gexiqingxin
根岸兔角	genantujiao
根津甚八	genjinshenba
根来寺	genlaisi
亘理元宗	genliyuanzong
攻弹正	gongdanzheng
宫本传太夫	gongbenchuantaifu
宫部继润	gongbujirun
沟口秀胜	goukouxiusheng
沟尾庄兵卫	gouweizhuangbingwei
古河公方	guhegongfang
古河御所	guheyusuo
古田重然	gutianzhongran
关东管领	guandongguanling
关口氏广	guankoushiguang
关盛信	guanshengxin
关一政	guanyizheng
龟井兹矩	guijingziju
鲑延秀纲	guiyanxiugang
鬼美浓	guimeinong
鬼庭纲元	guitinggangyuan
鬼庭左月	guitingzuoyue
鬼小岛弥太郎	guixiaodaomitailang
鬼玄蕃	guixuanfan
鬼之半藏	guizhibancang
鬼作左	guizuozuo
桂元澄	guiyuancheng
锅岛胜茂	guodaoshengmao
锅岛直茂	guodaozhimao
国司元相	guosiyuanxiang
国友善兵卫	guoyoushanbingwei
果心居士	guoxinjushi
海北纲亲	haibeigangqin
海道第一弓	haidaodiyigong
海野栋纲	haiyedonggang
海野六郎	haiyeliulang
海野信亲	haiyexinqin
豪姬	haoji
和泉	hequan
和田惟政	hetianweizheng
和田昭为	hetianzhaowei
河尻秀隆	hekaoxiulong
河内	henei
河田长亲	hetianzhangqin
河野通春	heyetongchun
河野通宣	heyetongxuan
河野通直	heyetongzhi
黑田官兵卫	heitianguanbingwei
黑田职隆	heitianzhilong
横谷左近	hengguzuojin
横山喜内	hengshanxinei
横田高松	hengtiangaosong
鸿池新六	hongchixinliu
后柏原天皇	houboyuantianhuang|houbaiyuantianhuang
后花园上皇	houhuayuanshanghuang
后奈良天皇	hounailiangtianhuang
后水尾天皇	houshuiweitianhuang
后藤贤丰	houtengxianfeng
后藤信康	houtengxinkang
后藤又兵卫	houtengyoubingwei
后土御门天皇	houtuyumentianhuang
后阳成天皇	houyangchengtianhuang
湖衣姬	huyiji
户川达安	huchuandaan
户川秀安	huchuanxiuan
户石崩	hushibeng
花房正幸	huafangzhengxing
花房职秀	huafangzhixiu
花之御所	huazhiyusuo
荒木村重	huangmucunzhong
荒木氏纲	huangmushigang
会津	huijin
会津征伐	huijinzhengfa
矶野员昌	jiyeyuanchang
畿内	jinei
吉川广家	jichuanguangjia
吉川经家	jichuanjingjia
吉冈传七郎	jigangchuanqilang
吉冈清十郎	jigangqingshilang
吉冈长增	jigangchangzeng
吉弘鉴理	jihongjianli
吉见正赖	jijianzhenglai
吉江景资	jijiangjingzi
吉江宗信	jijiangzongxin
吉良亲实	jiliangqinshi
吉良亲贞	jiliangqinzhen
吉田康俊	jitiankangjun
吉田孝赖	jitianxiaolai
吉田印西	jitianyinxi
吉田政重	jitianzhengzhong
吉田重俊	jitianzhongjun
纪伊	jiyi
季琼真蕊	jiqiongzhenrui
迹部胜资	jibushengzi
加贺	jiahe
加贺征伐	jiahezhengfa
加藤段藏	jiatengduancang
加藤光泰	jiatengguangtai
甲斐	jiafei
甲斐之虎	jiafeizhihu
甲斐宗运	jiafeizongyun
甲贺	jiahe
坚田元庆	jiantianyuanqing
菅达长	jiandachang
菅沼定盈	jianzhaodingying
贱岳合战	jianyuehezhan
贱岳七本枪	jianyueqibenqiang
江村亲家	jiangcunqingjia
江里口信常	jianglikouxinchang
江马辉盛	jiangmahuisheng
角仓了以	jiaocangleyi|jiaocangliaoyi
角仓素庵	jiaocangsuan
角隈石宗	jiaoweishizong
角屋七郎次郎	jiaowuqilangcilang
结城晴朝	jiechengqingchao
结城秀康	jiechengxiukang
结城政胜	jiechengzhengsheng
堺港	jiegang
今川氏丰	jinchuanshifeng
今川氏辉	jinchuanshihui
今川氏真	jinchuanshizhen
今川义忠	jinchuanyizhong
今井宗久	jinjingzongjiu
今井宗薰	jinjingzongxun
金上盛备	jinshangshengbei
津川义冬	jinchuanyidong
津轻为信	jinqingweixin
津田监物	jintianjianwu
津田信澄	jintianxincheng
津田宗及	jintianzongji
近江	jinjiang
