冷作硬化	lengzuoyinghua
力多边形	liduobianxing
力封闭型凸轮机构	lifengbixingtulunjigou
离合器	liheqi
力角	lijiao
力矩	liju
力矩接触器	lijujiechuqi
理论廓线	lilunkuoxian
理论啮合线	lilunniehexian
理论外径	lilunwaijing
理论装配据	lilunzhuangpeiju
力偶	liou
力偶矩	liouju
力平衡	lipingheng
离心力	lixinli
离心密封	lixinmifeng
链传动装置	lianchuandongzhuangzhi
连杆	liangan
连杆机构	lianganjigou
连杆曲线	lianganquxian
联结	lianjie
连接线段	lianjiexianduan
链轮	lianlun
连心线	lianxinxian
联轴器	lianzhouqi
两维凸轮	liangweitulun
临界转速	linjiezhuansu
零号图纸	linghaotuzhi
零件图	lingjiantu
零线	lingxian
六杆机构	liuganjigou
六角头螺栓	liujiaotouluoshuan
流体动力学	liutidonglixue
流体力学	liutilixue
龙门刨削	longmenbaoxue
逯长岭	luchangling
螺钉	luoding
螺杆	luogan
螺距	luoju
螺母	luomu
螺栓	luoshuan
螺纹	luowen
螺纹导程	luowendaocheng
螺纹加工	luowenjiagong
螺纹效率	luowenxiaolv
螺纹牙底线	luowenyadixian
螺纹牙顶线	luowenyadingxian
螺旋传动	luoxuanchuandong
螺旋副	luoxuanfu
螺旋机构	luoxuanjigou
螺旋角	luoxuanjiao
螺旋密封	luoxuanmifeng
螺旋线	luoxuanxian
螺旋锥齿轮	luoxuanzhuichilun
马耳他机构	maertajigou
马耳他十字	maertashizi
脉动无级变速	maidongwujibiansu
脉动循环应力	maidongxunhuanyingli
脉动载荷	maidongzaihe
铆钉	maoding
毛坯图	maopitu
密封	mifeng
密封带	mifengdai
密封元件	mifengyuanjian
迷宫密封	migongmifeng
面对面安装	mianduimiananzhuang
面轮廓度	mianlunkuodu
面锥顶点距	mianzhuidingdianju
面锥距	mianzhuiju
明细栏	mingxilan
名义应力	mingyiyingli
摩擦	moca
摩擦角	mocajiao
摩擦力	mocali
摩擦力矩	mocaliju
摩擦系数	mocaxishu
摩擦学设计	mocaxuesheji
摩擦圆	mocayuan
磨床	mochuang
末端执行器	moduanzhixingqi
模幅箱	mofuxiang
模糊评价	mohupingjia
模块式传动系统	mokuaishichuandongxitong
磨粒	moli
模数	moshu
磨损	mosun
耐磨性	naimoxing
耐用度	naiyongdu
挠性机构	naoxingjigou
挠性转子	naoxingzhuanzi
内齿轮	neichilun
内齿圈	neichiquan
内力	neili
内螺纹	neiluowen
内圆磨削	neiyuanmoxue
能量指示图	nengliangzhishitu
啮出	niechu
啮合	niehe
啮合点	niehedian
啮合角	niehejiao
啮合线	niehexian
啮合线长度	niehexianchangdu
啮入	nieru
扭簧	niuhuang
扭矩	niuju
扭力	niuli
盘形凸轮	panxingtulun
盘形转子	panxingzhuanzi
抛物线运动	paowuxianyundong
疲劳点蚀	pilaodianshi
疲劳极限	pilaojixian
疲劳强度	pilaoqiangdu
偏距圆	pianjuyuan
偏心距	pianxinju
偏心率	pianxinlv
偏心质量	pianxinzhiliang
偏置滚子从动件	pianzhigunzicongdongjian
偏置尖底从动件	pianzhijiandicongdongjian
偏置距	pianzhiju
偏置曲柄滑块机构	pianzhiqubinghuakuaijigou
偏置式	pianzhishi
平带	pingdai
平带传动	pingdaichuandong
平刀	pingdao
平底从动件	pingdicongdongjian
平底刀	pingdidao
平底宽度	pingdikuandu
平衡	pingheng
平衡品质	pinghengpinzhi
