阿达马变换	adamabianhuan
地壳均衡改正	diqiaojunhenggaizheng
地壳均衡说	diqiaojunhengshuo
地壳形变观测	diqiaoxingbianguance
地倾斜观测	diqingxieguance
地球长半轴	diqiuchangbanzhou
地球定向参数	diqiudingxiangcanshu
地球动力扁率	diqiudonglibianlv
地球动力因子	diqiudongliyinzi
地球短半轴	diqiuduanbanzhou
地球同步卫星	diqiutongbuweixing
地球椭球	diqiutuoqiu
地球椭球扁率	diqiutuoqiubianlv
地球位	diqiuwei
地球位数	diqiuweishu
地球位系数	diqiuweixishu
地球形状	diqiuxingzhuang
地球液核动力效应	diqiuyehedonglixiaoying
地球仪	diqiuyi
地球引力摄动	diqiuyinlishedong
地球重力场模型	diqiuzhonglichangmoxing
地球资源卫星	diqiuziyuanweixing
地球自转参数	diqiuzizhuancanshu
地球自转角速度	diqiuzizhuanjiaosudu
底色去除	disequchu
底色增益	disezengyi
地势图	dishitu
地图编辑	ditubianji
地图编制	ditubianzhi
地图表示法	ditubiaoshifa
地图传输	dituchuanshu
地图叠置分析	ditudiezhifenxi
地图分类	ditufenlei
地图分析	ditufenxi
地图符号库	ditufuhaoku
地图符号学	ditufuhaoxue
地图复杂性	ditufuzaxing
地图负载量	ditufuzailiang
地图复制	ditufuzhi
地图感受	dituganshou
地图更新	ditugengxin
地图规范	dituguifan
地图集	dituji
地图集信息系统	ditujixinxixitong
地图利用	dituliyong
地图量算	dituliangsuan
地图量算法	dituliangsuanfa
地图模型	ditumoxing
地图内容结构	dituneirongjiegou
地图判读	ditupandu
地图评价	ditupingjia
地图潜信息	dituqianxinxi
地图清晰性	dituqingxixing
地图色标	ditusebiao
地图色谱	ditusepu
地图上所有辅助要素	ditushangsuoyoufuzhuyaosu
地图设计	ditusheji
地图生产	ditushengchan
地图数据结构	ditushujujiegou
地图数据库	ditushujuku
地图数据库管理系统	ditushujukuguanlixitong
地图数字化	ditushuzihua
地图投影	ditutouying
地图显示	dituxianshi
地图信息	dituxinxi
地图信息系统	dituxinxixitong
地图学	dituxue
地图研究法	dituyanjiufa
地图易读性	dituyiduxing
地图印刷	dituyinshua
地图语法	dituyufa
地图语言	dituyuyan
地图语义	dituyuyi
地图语用	dituyuyong
地图阅读	dituyuedu
地图整饰	dituzhengshi
地图制图	dituzhitu
地图制图软件	dituzhituruanjian
地图制图学	dituzhituxue
地图注记	dituzhuji
地物波谱特性	diwuboputexing
地下管线测量	dixiaguanxianceliang
地下铁道测量	dixiatiedaoceliang
地下油库测量	dixiayoukuceliang
地心经度	dixinjingdu
地心纬度	dixinweidu
地心引力常数	dixinyinlichangshu
地心直角坐标	dixinzhijiaozuobiao
地心坐标系	dixinzuobiaoxi
地形测量	dixingceliang
地形测量学	dixingceliangxue
地形底图	dixingditu
地形改正	dixinggaizheng
地形数据库	dixingshujuku
地形图	dixingtu
地形图更新	dixingtugengxin
地形图图式	dixingtutushi
地性线	dixingxian
第一偏心率	diyipianxinlv
地应力测量	diyingliceliang
地震台精密测量	dizhentaijingmiceliang
底质	dizhi
底质采样	dizhicaiyang
地质草图	dizhicaotu
地质测量	dizhiceliang
地质点测量	dizhidianceliang
底质调查	dizhidiaocha
底质分布图	dizhifenbutu
地质略图	dizhiluetu
地质剖面测量	dizhipoumianceliang
地质剖面图	dizhipoumiantu
电磁波测距	dianciboceju
电磁波测距仪	diancibocejuyi
电磁波谱	diancibopu
点方式	dianfangshi
电荷耦合存储器	dianheouhecunchuqi
电荷耦合器	dianheouheqi
电荷耦合器件	dianheouheqijian
电离层折射改正	dianlicengzheshegaizheng
电算加密	diansuanjiami
点位中误差	dianweizhongwucha
点下对中	dianxiaduizhong
典型图形平差	dianxingtuxingpingcha
点值法	dianzhifa
点之记	dianzhiji
电指向	dianzhixiang
点状符号	dianzhuangfuhao
电子测距仪	dianzicejuyi
电子出版系统	dianzichubanxitong
电子地图集	dianzidetuji
电子地图	dianziditu
电子分色机	dianzifenseji
电子海图数据库	dianzihaitushujuku
电子经纬仪	dianzijingweiyi
电子平板仪	dianzipingbanyi
电子求积仪	dianziqiujiyi
电子手簿	dianzishoubu
电子水准仪	dianzishuizhunyi
电子速测仪	dianzisuceyi
