阿尔都塞	aerdusai
整体需要	zhengtixuyao
郑鲜之	zhengxianzhi
郑昕	zhengxin
正心	zhengxin
郑兴	zhengxing
郑玄	zhengxuan
正言若反	zhengyanruofan
正谊不谋利	zhengyibumouli
郑隐	zhengyin
征知	zhengzhi
政治传统	zhengzhichuantong
政治斗争	zhengzhidouzheng
政治活动	zhengzhihuodong
政治家篇	zhengzhijiapian
政治上层建筑	zhengzhishangcengjianzhu
政治学家	zhengzhixuejia
政治哲学	zhengzhizhexue
郑众	zhengzhong
证自证分	zhengzizhengfen
知彼知己	zhibizhiji
知材	zhicai
质测	zhice
知常	zhichang
支谶	zhichen
至诚能化	zhichengnenghua
至诚如神	zhichengrushen
执道	zhidao
支道林	zhidaolin
执道守度	zhidaoshoudu
指导原理	zhidaoyuanli
值得拥有	zhideyongyou
至德之世	zhidezhishi
支遁	zhidun
志功	zhigong
止观	zhiguan
智慧	zhihui
知接	zhijie
直觉	zhijue
知觉	zhijue
知觉运动	zhijueyundong
至乐	zhile
至理	zhili
质力	zhili
知力	zhili
知礼	zhili
支离事业	zhilishiye
质力相推	zhilixiangtui
执两用中	zhiliangyongzhong
致良知	zhiliangzhi
质料	zhiliao
支娄迦谶	zhiloujiachen
制民之产	zhiminzhichan
制名指实	zhimingzhishi
制名之枢要	zhimingzhishuyao
知难行易	zhinanxingyi
知能	zhineng
止念	zhinian
芝诺	zhinuo
知气	zhiqi
支谦	zhiqian
至人	zhiren
智仁勇	zhirenyong
质日代而行如一	zhiridaierxingruyi
知实	zhishi
智士篇	zhishipian
知识社会学	zhishishehuixue
知是行之始	zhishixingzhishi
制天命而用之	zhitianmingeryongzhi
质文代变	zhiwendaibian
至无	zhiwu
指物	zhiwu
知物由学	zhiwuyouxue
知先规而后为之	zhixianguierhouweizhi
知先行后	zhixianxinghou
治心	zhixin
志行	zhixing
知行	zhixing
知行分工	zhixingfengong
知行分任	zhixingfenren
知行合一	zhixingheyi
知行兼举	zhixingjianju
知行相须互发	zhixingxiangxuhufa
知行相资以为用	zhixingxiangziyiweiyong
智旭	zhixu
直寻	zhixun
智俨	zhiyan
知言	zhiyan
执要	zhiyao
执一不二	zhiyibuer
志壹动气	zhiyidongqi
执一统众	zhiyitongzhong
知易行难	zhiyixingnan
知音	zhiyin
质用	zhiyong
知有所合谓之智	zhiyousuoheweizhizhi
止于至善	zhiyuzhishan
指月	zhiyue
智者篇	zhizhepian
致知	zhizhi
知之不若行之	zhizhiburuoxingzhi
执中	zhizhong
知足不辱	zhizuburu
知足常足	zhizuchangzu
仲长敖	zhongchangao
仲长统	zhongchangtong
忠诚可靠	zhongchengkekao
中道	zhongdao
中道观	zhongdaoguan
重点论	zhongdianlun
种放	zhongfang
众甫	zhongfu
仲弓	zhonggong
中国哲学名词	zhongguozhexuemingci
中行	zhonghang
中和	zhonghe
中和之美	zhonghezhimei
钟会	zhonghui
种类相产	zhongleixiangchan
仲良	zhongliang
仲尼	zhongni
钟嵘	zhongrong
众生	zhongsheng
中世纪	zhongshiji
忠恕之道	zhongshuzhidao
中体西用	zhongtixiyong
重同	zhongtong
中五说	zhongwushuo
踵息	zhongxi
忠孝仁爱信义和平	zhongxiaorenaixinyiheping
中学其本	zhongxueqiben
众议参同	zhongyicantong
中庸	zhongyong
仲由	zhongyou
种子	zhongzi
周惇颐	zhoudunyi
周敦颐	zhoudunyi
周公	zhougong
周濂溪	zhoulianxi
周汝登	zhourudeng
周树人	zhoushuren
周颙	zhouyong
周予同	zhouyutong
著变	zhubian
朱伯崑	zhubokun
朱次琦	zhuciqi
竺道生	zhudaosheng
铸鼎象物	zhudingxiangwu
竺法护	zhufahu
朱光潜	zhuguangqian
袾宏	zhuhong
朱晦庵	zhuhuian
烛火之喻	zhuhuozhiyu
主静	zhujing
主敬	zhujing
朱陆异同	zhuluyitong
著名学派	zhumingxuepai
朱谦之	zhuqianzhi
朱世卿	zhushiqing
朱士行	zhushixing
朱舜水	zhushunshui
麈谈	zhutan
朱熹	zhuxi
主要教条	zhuyaojiaotiao
主要矛盾	zhuyaomaodun
主要矛盾方面	zhuyaomaodunfangmian
主一	zhuyi
主意	zhuyi
朱一新	zhuyixin
住在	zhuzai
朱泽云	zhuzeyun
朱震	zhuzhen
朱执信	zhuzhixin
朱之瑜	zhuzhiyu
诸子合观	zhuziheguan
转识成智	zhuanshichengzhi
颛孙师	zhuansunshi
转依	zhuanyi
庄存与	zhuangcunyu
庄周	zhuangzhou
庄周梦蝶	zhuangzhoumengdie
庄子	zhuangzi
自比量	zibiliang
子产	zichan
自得	zide
自尔	zier
自反	zifan
子贡	zigong
子罕	zihan
自化	zihua
子华子	zihuazi
子路	zilu
子莫	zimo
自然	ziran
自然本身	ziranbenshen
自然发生论	ziranfashenglun
自然观	ziranguan
自然过程	ziranguocheng
自然科学	zirankexue
自然命定论	ziranmingdinglun
自然现象	ziranxianxiang
自然与必然非二事	ziranyubiranfeiershi
自然哲学	ziranzhexue
自然哲学家	ziranzhexuejia
自然哲学时期	ziranzhexueshiqi
自然之命	ziranzhiming
自然之说	ziranzhishuo
自然主义的人生观	ziranzhuyiderenshengguan
梓慎	zishen
自生	zisheng
自生而必体有	zishengerbitiyou
自适	zishi
子思	zisi
自为	ziwei
滋味说	ziweishuo
自我满足	ziwomanzu
自我意识	ziwoyishi
子夏	zixia
自相	zixiang
自相矛盾	zixiangmaodun
自性	zixing
自有	ziyou
子游	ziyou
自由思想者	ziyousixiangzhe
自由王国	ziyouwangguo
自由意志	ziyouyizhi
子羽	ziyu
子张	zizhang
自正	zizheng
自证分	zizhengfen
恣之两行	zizhilianghang
自足	zizu
自尊其心	zizunqixin
宗白华	zongbaihua
宗柄	zongbing
宗杲	zonggao
宗教教条	zongjiaojiaotiao
宗教伦理	zongjiaolunli
宗教哲学	zongjiaozhexue
宗九过	zongjiuguo
宗密	zongmi
宗眼	zongyan
纵欲	zongyu
邹容	zourong
驺奭	zoushi
邹守益	zoushouyi
邹衍	zouyan
驺衍	zouyan
镞矢之疾而有不行不止之时	zushizhijieryoubuxingbuzhizhishi
祖述尧舜	zushuyaoshun
祖统	zutong
卒于	zuyu
尊道贵德	zundaoguide
尊德性而道问学	zundexingerdaowenxue
尊灵魂轻体魄	zunlinghunqingtipo
尊情	zunqing
尊天事鬼	zuntianshigui
尊王贱霸	zunwangjianba
尊心	zunxin
尊疑之学	zunyizhixue
左慈	zuoci
左丘明	zuoqiuming
左舜生	zuoshunsheng
坐忘	zuowang
作文害道	zuowenhaidao
左雄	zuoxiong
