派对服装	paiduifuzhuang
盘福龙	panfulong
盘恒髻	panhengji
盘花	panhua
盘花钮	panhuaniu
盘领衣	panlingyi
抛家髻	paojiaji
狍头皮帽	paotoupimao
跑凌鞋	paolingxie
帔肩	peijian
配套服装	peitaofuzhuang
披帛	pibo
披红	pihong
披肩领	pijianling
披领	piling
皮袄	piao
皮弁	pibian
皮弁服	pibianfu
皮冠	piguan
皮甲	pijia
皮衣出锋	piyichufeng
毗卢帽	pilumao
毗卢帽子	pilumaozi
毗罗帽	piluomao
偏顶	pianding
偏衫	pianshan
偏衣	pianyi
飘带领	piaodailing
飘飘巾	piaopiaojin
品服	pinfu
品色衣	pinseyi
平驳领	pingboling
平顶冠	pingdingguan
平脚裤	pingjiaoku
平冕	pingmian
平上帻	pingshangze
平天冠	pingtianguan
瓶裆衬裤	pingdangchenku
蒲履	pulv
蒲桃髻	putaoji
漆纱笼冠	qishalongguan
齐裆	qidang
岐头履	qitoulv
荠制	jizhi
綦会	qihui
旗袍裙衫	qipaoqunshan
麒麟袍	qilinpao
帢帽	qiamao
前刘海	qianliuhai
钱包	qianbao
潜水衣	qianshuiyi
茜裙	qianqun
茜衫	qianshan
嵌花边	qianhuabian
嵌线	qianxian
蒨裙	qianqun
羌族服饰	qiangzufushi
抢驳领	qiangboling
抢驳头	qiangbotou
幧头	qiaotou
樵头	qiaotou
巧士冠	qiaoshiguan
帩头	qiaotou
茄克衫	jiakeshan
秦代铠甲	qindaikaijia
青金	qingjin
青霜	qingshuang
青铜甲	qingtongjia
青紫	qingzi
轻便装	qingbianzhuang
清代朝裙	qingdaichaoqun
清代胄甲	qingdaizhoujia
庆忌冠	qingjiguan
曲领	quling
却敌冠	quediguan
却非冠	quefeiguan
却月眉	queyuemei
雀弁	quebian
雀顶	queding
鹊尾冠	queweiguan
阙狄	quedi
帬帔	qunpei
裙掌	qunzhang
染服	ranfu
人民装	renminzhuang
日光裤	riguangku
戎服	rongfu
戎装	rongzhuang
绒球	rongqiu
儒巾	rujin
乳罩	ruzhao
软裹	ruanguo
软木帽	ruanmumao
靸鞋	saxie
三服官	sanfuguan
三骨裤	sanguku
三鬟髻	sanhuanji
三髻丫	sanjiya
三加	sanjia
三角边	sanjiaobian
