奥陶纪	aotaoji
交错层理	jiaocuocengli
角峰	jiaofeng
胶结	jiaojie
角砾岩	jiaoliyan
阶地	jiedi
结构	jiegou
结构面	jiegoumian
节理	jieli
晶胞	jingbao
景观地球化学	jingguandiqiuhuaxue
经济发展战略	jingjifazhanzhanlue
经济协作区	jingjixiezuoqu
警戒水位	jingjieshuiwei
静力触探	jinglichutan
径流模数	jingliumoshu
经向构造体系	jingxianggouzaotixi
久能山	jiunengshan
具滑面	juhuamian
具裂隙	juliexi
拘尸那揭罗	jushinajieluo
剧县	juxian
句章	juzhang
眷属地狱	juanshudiyu
喀斯特	kasite
喀斯特地貌	kasitedimao
喀斯特平原	kasitepingyuan
开拉沙山	kailashashan
勘察期水位	kanchaqishuiwei
克拉通	kelatong
颗粒灰岩	kelihuiyan
刻图	ketu
可再生资源	kezaishengziyuan
垦殖指数	kenzhizhishu
空间索引	kongjiansuoyin
空间制图	kongjianzhitu
空无边处天	kongwubianchutian
孔隙水	kongxishui
孔隙水压力	kongxishuiyali
孔隙压力	kongxiyali
矿泉	kuangquan
雷口坡组	leikoupozu
粒级	liji
砾岩	liyan
良里塔格组	lianglitagezu
梁山组	liangshanzu
捩断层	lieduanceng
裂谷	liegu
裂隙式喷发	liexishipenfa
裂隙水	liexishui
磷灰石	linhuishi
临泾	linjing
林区	linqu
临湘组	linxiangzu
领海	linghai
令居	lingju
领空	lingkong
菱铁质	lingtiezhi
零阳	lingyang
令支	lingzhi
流纹岩	liuwenyan
流域分水线	liuyufenshuixian
龙马溪组	longmaxizu
陆相	luxiang
落水洞	luoshuidong
脉动	maidong
茅口组	maokouzu
煤层	meiceng
面波	mianbo
墨卡托投影	mokatuotouying
磨蚀	moshi
拿贡巴东	nagongbadong
南极	nanji
南津关组	nanjinguanzu
内盖夫	neigaifu
内陆	neilu
内营力	neiyingli
能动断层	nengdongduanceng
逆冲断层	nichongduanceng
逆断层	niduanceng
泥灰岩	nihuiyan
拟建物	nijianwu
泥晶灰岩	nijinghuiyan
泥流	niliu
泥盆纪	nipenji
泥盆系	nipenxi
泥石流	nishiliu
泥岩	niyan
泥质粉砂岩	nizhifenshayan
泥质砂岩	nizhishayan
年平均温度	nianpingjunwendu
粘土	niantu
粘质砂土	nianzhishatu|zhanzhishatu
鸟瞰图	niaokantu
凝灰岩	ninghuiyan
牛轭湖	niuehu
派生地图	paishengditu
盆地	pendi
蓬莱镇组	penglaizhenzu
彭纳没影	pengnameiying
劈理	pili
劈裂试验	pilieshiyan
片理	pianli
片麻岩	pianmayan
片蚀	pianshi
片岩	pianyan
片状构造	pianzhuanggouzao
漂砾	piaoli
平版印刷术	pingbanyinshuashu
平衡剖面	pinghengpoumian
平均海平面	pingjunhaipingmian
平行不整合	pingxingbuzhenghe
平行层理	pingxingcengli
平移断层	pingyiduanceng
坡地	podi
破坏性地震	pohuaixingdizhen
破坏应力	pohuaiyingli
坡积物	pojiwu
破裂带	poliedai
破裂面	poliemian
剖面	poumian
剖面图法	poumiantufa
普通地图集	putongdituji
栖霞组	qixiazu
前寒武纪	qianhanwuji
潜蚀	qianshi
前正觉山	qianzhengjueshan
强震仪	qiangzhenyi
侵蚀基准面	qinshijizhunmian
侵蚀阶地	qinshijiedi
亲石元素	qinshiyuansu
亲铁元素	qintieyuansu
亲铜元素	qintongyuansu
丘陵	qiuling
屈服应变	qufuyingbian
屈浪拏国	qulangnaguo
曲流	quliu
瞿毗霜那国	qupishuangnaguo
瞿师罗园	qushiluoyuan
佉陀罗山	qutuoluoshan
区域	quyu
区域地图集	quyudituji
区域环境	quyuhuanjing
全风化	quanfenghua
全新世	quanxinshi
全新统	quanxintong
绕射波	raoshebo
热带	redai
热带雨林气候	redaiyulinqihou
热点	redian
热流体	reliuti
人类地理学	renleidilixue
人文地理学	renwendilixue
日光山	riguangshan
日曼投影	rimantouying
溶斗	rongdou
溶沟	ronggou
溶蚀	rongshi
熔岩	rongyan
熔岩流	rongyanliu
入渗	rushen
汝阴	ruyin
软流圈	ruanliuquan
弱风化	ruofenghua
三叠纪	sandieji
三叠系	sandiexi
三角测量	sanjiaoceliang
三角洲	sanjiaozhou
桑塔木组	sangtamuzu
色究竟天	sejiujingtian
森林土壤	senlinturang
沙暴	shabao
莎车国	shacheguo
沙丘	shaqiu
沙溪庙组	shaximiaozu
沙羡	shaxian
砂屑灰岩	shaxiehuiyan
砂岩	shayan
砂质泥岩	shazhiniyan
山崩	shanbeng
山地	shandi
栅格数据结构	shangeshujujiegou
珊瑚礁	shanhujiao
山间盆地	shanjianpendi
山麓	shanlu
山麓平原	shanlupingyuan
山脉	shanmai
剡县	shanxian
上统	shangtong
上新世	shangxinshi
深海区	shenhaiqu
伸展构造	shenzhangouzao
生态平衡	shengtaipingheng
生态效益	shengtaixiaoyi
生物礁	shengwujiao
生物净化	shengwujinghua
生物圈	shengwuquan
生长断层	shengzhangduanceng
视电阻率	shidianzulv
湿害	shihai
石灰岩	shihuiyan
世界地图集	shijiedituji
石窟庵	shikuan
石冷水组	shilengshuizu
室利佛逝	shilifoshi
视倾角	shiqingjiao
湿润气候	shirunqihou
石炭纪	shitanji
石炭系	shitanxi
石英	shiying
石英岩	shiyingyan
收缩说	shousuoshuo
数据模型	shujumoxing
疏勒国	shuleguo
输沙能力	shushanengli
舒善河组	shushanhezu
数字滤波	shuzilvbo
数字图象处理	shuzituxiangchuli
水化学	shuihuaxue
水能	shuineng
水平断距	shuipingduanju
水平运动	shuipingyundong
水圈	shuiquan
水土保持	shuitubaochi
水土流失	shuituliushi
水位	shuiwei
水文地理学	shuiwendilixue
水文地球化学	shuiwendiqiuhuaxue
水文地质学	shuiwendizhixue
水文试验	shuiwenshiyan
水污染	shuiwuran
水循环	shuixunhuan
水样	shuiyang
水质	shuizhi
水质评价	shuizhipingjia
水资源	shuiziyuan
顺层边坡	shuncengbianpo
死火山	sihuoshan
俗离山	sulishan
溯源侵蚀	suyuanqinshi
酸雨	suanyu
碎裂岩	suilieyan
遂宁组	suiningzu
碎屑岩	suixieyan
太古宙	taiguzhou
太阳辐射	taiyangfushe
探槽	tancao
滩脊	tanji
探井	tanjing
碳酸盐	tansuanyan
炭质泥岩	tanzhiniyan
汤殿山	tangdianshan
提水试验	tishuishiyan
提塘	titang
天然堤	tianrandi
天然休止角	tianranxiuzhijiao
填筑土	tianzhutu
廷巴克图	tingbaketu
桐里山	tonglishan
透镜体	toujingti
透水层	toushuiceng
投子山	touzishan
图伯特	tubote
土地利用	tudiliyong
图幅尺寸	tufuchicun
土力学	tulixue
土壤胶体	turangjiaoti
土壤侵蚀	turangqinshi
土壤水	turangshui
土壤退化	turangtuihua
土壤污染	turangwuran
图象复合	tuxiangfuhe
图象识别	tuxiangshibie
图象数字化	tuxiangshuzihua
推覆体	tuifuti
退水曲线	tuishuiquxian
洼地	wadi
外黄	waihuang
外语惯用地名	waiyuguanyongdiming
完钻	wanzuan
韦尔吉纳	weierjina
伪方位投影	weifangweitouying
微风化	weifenghua
纬向构造体系	weixianggouzaotixi
围岩	weiyan
伪圆柱投影	weiyuanzhutouying
伪圆锥投影	weiyuanzhuitouying
温带	wendai
纹泥	wenni
温室效应	wenshixiaoying
五峰组	wufengzu
吴家坪组	wujiapingzu
物理风化作用	wulifenghuazuoyong
污染源	wuranyuan
污水	wushui
武遂	wusui
无所有处天	wusuoyouchutian
武州	wuzhou
细粒砂岩	xilishayan
细粒砂状	xilishazhuang
夏琐	xiasuo
下统	xiatong
下钻	xiazuan
酰罗城	xianluocheng
酰罗山	xianluoshan
显生宙	xianshengzhou
咸水湖	xianshuihu
线性构造	xianxinggouzao
襄国	xiangguo
项县	xiangxian
向斜	xiangxie
香醉山	xiangzuishan
硝化作用	xiaohuazuoyong
斜断口	xieduankou
信度国	xinduguo
信度河	xinduhe
新构造运动	xingouzaoyundong
新近纪	xinjinji
辛特拉	xintela
新田沟组	xintiangouzu
新鲜面	xinxianmian
休眠火山	xiumianhuoshan
须昌	xuchang
须家河组	xujiahezu
悬浮粒子	xuanfulizi
玄武岩	xuanwuyan
寻阳	xunyang
亚热带	yaredai
岩崩	yanbeng
岩层崩落	yancengbengluo
岩床	yanchuang
岩盖	yangai
岩关阶	yanguanjie
盐湖	yanhu
岩基	yanji
岩浆	yanjiang
岩脉	yanmai
阎牟那河	yanmounahe
岩溶水	yanrongshui
岩石	yanshi
岩石力学性质	yanshilixuexingzhi
岩石圈	yanshiquan
岩石质量指标	yanshizhiliangzhibiao
岩体强度	yantiqiangdu
岩土界线	yantujiexian
岩屑	yanxie
岩性	yanxing
岩性界线	yanxingjiexian
岩株	yanzhu
羊背石	yangbeishi
养蚕业	yangcanye
鸯掘多罗国	yangjueduoluoguo
阳夏	yangxia
阳象	yangxiang
阳翟	yangdi|yangzhai
遥测地震仪	yaocedizhenyi
夜摩天	yemotian
意境地图	yijingditu
夷平面	yipingmian
猗氏	yishi
隐生宙	yinshengzhou
阴象	yinxiang
应变	yingbian
应力场	yinglichang
影区	yingqu
影响半径	yingxiangbanjing
影象分辨率	yingxiangfenbianlv
影象质量	yingxiangzhiliang
应用地图学	yingyongdituxue
雍布拉岗	yongbulagang
永久冻土	yongjiudongtu
雍丘	yongqiu
雍县	yongxian
由拳	youquan
油页岩	youyeyan
预报地图	yubaoditu
鱼复	yufu
羽黑山	yuheishan
臾那世界国	yunashijieguo
宇宙	yuzhou
宇宙尘	yuzhouchen
宇宙地质学	yuzhoudizhixue
元地图学	yuandituxue
元古宙	yuanguzhou
冤句	yuanju
原位测试	yuanweiceshi
圆柱投影	yuanzhutouying
月震	yuezhen
运动线法	yundongxianfa
云母	yunmu
晕滃法	yunwengfa
晕渲法	yunxuanfa
造山带	zaoshandai
造山幕	zaoshanmu
造山运动	zaoshanyundong
造山作用	zaoshanzuoyong
增长极论	zengzhangjilun
瞻波国	zhanboguo
杖林	zhanglin
沼泽泥炭	zhaozenitan
磔迦国	zhejiaguo
折射波	zheshebo
赭时国	zheshiguo
柘县	zhexian
褶皱带	zhezhoudai
震旦纪	zhendanji
震级	zhenji
震情	zhenqing
针叶林	zhenyelin
震源	zhenyuan
珍珠冲组	zhenzhuchongzu
正断层	zhengduanceng
蒸发	zhengfa
正射影象地图	zhengsheyingxiangditu
正阳组	zhengyangzu
植被	zhibei
支流	zhiliu
志留纪	zhiliuji
志留系	zhiliuxi
至那仆底国	zhinapudiguo
支提国	zhitiguo
支提山	zhitishan
制图分类	zhitufenlei
制图精度	zhitujingdu
植物群落	zhiwuqunluo
制印原图	zhiyinyuantu
重力	zhongli
中砾	zhongli
重力触探	zhonglichutan
中粒砂岩	zhonglishayan
中粒砂状	zhonglishazhuang
重力水	zhonglishui
重力梯度	zhonglitidu
中生代	zhongshengdai
中生植物	zhongshengzhiwu
中新世	zhongxinshi
中心式喷发	zhongxinshipenfa
祝阿	zhua
侏罗纪	zhuluoji
侏罗系	zhuluoxi
注水试验	zhushuishiyan
朱提	shushi|zhuti
主应力	zhuyingli
转换断层	zhuanhuanduanceng
专题地图集	zhuantidituji
专题地图学	zhuantidituxue
准平原	zhunpingyuan
卓越周期	zhuoyuezhouqi
自动化制图	zidonghuazhitu
子合国	ziheguo
自流井组	ziliujingzu
自流水盆地	ziliushuipendi
自然电位	zirandianwei
自然环境	ziranhuanjing
自然景观	ziranjingguan
自然生态系统	ziranshengtaixitong
自然遗产	ziranyichan
自然疫源地	ziranyiyuandi
自然灾害	ziranzaihai
自然资源	ziranziyuan
综合地图集	zonghedituji
综合运输	zongheyunshu
纵向结合	zongxiangjiehe
最高洪水位	zuigaohongshuiwei
