更上一层楼	gengshangyicenglou
水击三千里	shuijisanqianli
一日看尽长安花	yirikanjinchanganhua
寂寞空庭春欲晚	jimokongtingchunyuwan
不知今夕何夕	buzhijinxihexi
亦使后人而复哀后人也	yishihourenerfuaihourenye
云深不知处	yunshenbuzhichu
往者不可谏	wangzhebukejian
不辞长作岭南人	bucichangzuolingnanren
君子喻于义	junziyuyuyi
疑是银河落九天	yishiyinheluojiutian
疑是地上霜	yishidishangshuang
卷起千堆雪	juanqiqianduixue
花重锦官城	huazhongjinguancheng
不坠青云之志	buzhuiqingyunzhizhi
小人之德草	xiaorenzhidecao
烽火连三月	fenghuoliansanyue
长太息以掩涕兮	changtaixiyiyantixi
坐看云起时	zuokanyunqishi
蚍蜉撼大树	pifuhandashu
不义而富且贵	buyierfuqiegui
一岁一枯荣	yisuiyikurong
人生得意须尽欢	renshengdeyixujinhuan
窗含西岭千秋雪	chuanghanxilingqianqiuxue
铁杵磨成针	tiechumochengzhen
不爱红装爱武装	buaihongzhuangaiwuzhuang
人有悲欢离合	renyoubeihuanlihe
吾道一以贯之	wudaoyiyiguanzhi
使老有所终	shilaoyousuozhong
新松恨不高千尺	xinsonghenbugaoqianchi
小人长戚戚	xiaorenchangqiqi|xiaorenzhangqiqi
风萧萧兮易水寒	fengxiaoxiaoxiyishuihan
士不可以不弘毅	shibukeyibuhongyi
金风玉露一相逢	jinfengyuluyixiangfeng
亦余心之所善兮	yiyuxinzhisuoshanxi
听取蛙声一片	tingquwashengyipian
绿树村边合	lvshucunbianhe
海上升明月	haishangshengmingyue
一举成名天下知	yijuchengmingtianxiazhi
为之于未有	weizhiyuweiyou
民亦乐其乐	minyileqile
今夕是何年	jinxishihenian
天若有情天亦老	tianruoyouqingtianyilao
世事洞明皆学问	shishidongmingjiexuewen
山寺桃花始盛开	shansitaohuashishengkai
对影成三人	duiyingchengsanren
独钓寒江雪	dudiaohanjiangxue
此之谓大丈夫	cizhiweidazhangfu
在天愿作比翼鸟	zaitianyuanzuobiyiniao
秋收万颗子	qiushouwankezi
日出江花红胜火	richujianghuahongshenghuo
今朝更好看	jinzhaogenghaokan
只要肯登攀	zhiyaokendengpan
读书破万卷	dushupowanjuan
书山有路勤为径	shushanyouluqinweijing
学海无涯苦作舟	xuehaiwuyakuzuozhou
白日依山尽	bairiyishanjin
登泰山而小天下	dengtaishanerxiaotianxia
又岂在朝朝暮暮	youqizaizhaozhaomumu
千淘万漉虽辛苦	qiantaowanlusuixinku
大风起兮云飞扬	dafengqixiyunfeiyang
得来全不费功夫	delaiquanbufeigongfu
各领风骚数百年	gelingfengsaoshubainian
春来江水绿如蓝	chunlaijiangshuilvrulan
乐民之乐者	leminzhilezhe
芙蓉国里尽朝晖	furongguolijinzhaohui
桃花依旧笑春风	taohuayijiuxiaochunfeng
恶竹应须斩万竿	ezhuyingxuzhanwangan
不可使知之	bukeshizhizhi
少年不识愁滋味	shaonianbushichouziwei
天涯何处无芳草	tianyahechuwufangcao
无人知是荔枝来	wurenzhishilizhilai
花开时节动京城	huakaishijiedongjingcheng
等闲识得东风面	dengxianshidedongfengmian
人事有代谢	renshiyoudaixie
得道者多助	dedaozheduozhu
在地愿为连理枝	zaidiyuanweilianlizhi
试看天下谁能敌	shikantianxiashuinengdi
花市灯如昼	huashidengruzhou
唧唧复唧唧	jijifujiji
千古风流人物	qiangufengliurenwu
不见当年秦始皇	bujiandangnianqinshihuang
青山郭外斜	qingshanguowaixie
往事越千年	wangshiyueqiannian
而伯乐不常有	erbolebuchangyou
黄河入海流	huangheruhailiu
