更上一层楼	gengshangyicenglou
岂在多杀伤	qizaiduoshashang
此之谓本根	cizhiweibengen
春色岂知心	chunseqizhixin
听风听雨过清明	tingfengtingyuguoqingming
此道今人弃如土	cidaojinrenqirutu
艳色天下重	yansetianxiazhong
不知云与我俱东	buzhiyunyuwojudong
但得酒中趣	dandejiuzhongqu
南朝词臣北朝客	nanchaocichenbeichaoke
阵阵腥风自吹散	zhenzhenxingfengzichuisan
古墓累累春草绿	gumuleileichuncaolv
我欲醉眠芳草	woyuzuimianfangcao
人愁春光短	renchouchunguangduan
西忆故人不可见	xiyigurenbukejian
宫帘隔御花	gongliangeyuhua
无处豁怀抱	wuchuhuohuaibao
僧言古壁佛画好	sengyangubifohuahao
胡雁哀鸣夜夜飞	huyanaimingyeyefei
穷岛屿之萦回	qiongdaoyuzhiyinghui
年年喜见山长在	niannianxijianshanzhangzai
平明发轮台	pingmingfaluntai
门前可罗雀	menqiankeluoque
肉芝石耳不足数	rouzhishierbuzushu
轻颦双黛螺	qingpinshuangdailuo
水流心不竞	shuiliuxinbujing
晚坐松檐下	wanzuosongyanxia
少年十五二十时	shaonianshiwuershishi
何当宅下流	hedangzhaixialiu
今夕亦何夕	jinxiyihexi
秋日赴阙题潼关驿楼	qiurifuquetitongguanyilou
林花扫更落	linhuasaogengluo
依约是湘灵	yiyueshixiangling
生逢尧舜君	shengfengyaoshunjun
故性长非所断	guxingchangfeisuoduan
虽鸡狗不得宁焉	suijigoubudeningyan
任人采弄尽人看	renrencainongjinrenkan
白鸥没浩荡	baioumeihaodang
相教慎出入	xiangjiaoshenchuru
平台为客忧思多	pingtaiweikeyousiduo
破产不为家	pochanbuweijia
此地亦尝留	cidiyichangliu
岛屿佳境色	daoyujiajingse
孤雁不饮啄	guyanbuyinzhuo
曾经学舞度芳年	cengjingxuewudufangnian
光明所照耀	guangmingsuozhaoyao
与夏十二登岳阳楼	yuxiashierdengyueyanglou
建德非吾土	jiandefeiwutu
君尔妾亦然	junerqieyiran
此日此时人共得	ciricishirengongde
丈夫志四海	zhangfuzhisihai
来访雁邱处	laifangyanqiuchu
问客何为来	wenkeheweilai
非诸侯而何	feizhuhouerhe
妇姑荷箪食	fuguhedansi
百胜本自有前期	baishengbenziyouqianqi
日落看归鸟	riluokanguiniao
碧虚无云风不起	bixuwuyunfengbuqi
烟波尽处一点白	yanbojinchuyidianbai
臣闻云南六诏蛮	chenwenyunnanliuzhaoman
是谓反其真	shiweifanqizhen
匡人其如予何	kuangrenqiruyuhe
沙平水息声影绝	shapingshuixishengyingjue
北极朝廷终不改	beijichaotingzhongbugai
两家求合葬	liangjiaqiuhezang
权归臣兮鼠变虎	quanguichenxishubianhu
难与并为仁矣	nanyubingweirenyi
名与日月悬	mingyuriyuexuan
孺悲欲见孔子	rubeiyujiankongzi
唯上智与下愚不移	weishangzhiyuxiayubuyi
夫不恬不愉	fubutianbuyu
也被越来越多的西方学者所推崇	yebeiyuelaiyueduodexifangxuezhesuotuichong
金窗夹绣户	jinchuangjiaxiuhu
如闻泣幽咽	ruwenqiyouye
再拜奉大将军足下	zaibaifengdajiangjunzuxia
结根依青天	jiegenyiqingtian
将家就鱼麦	jiangjiajiuyumai
流血涂野草	liuxuetuyecao
一年明月今宵多	yinianmingyuejinxiaoduo
季氏旅于泰山	jishilvyutaishan
树下斗鸡场	shuxiadoujichang
邦有道如矢	bangyoudaorushi
红树蝉声满夕阳	hongshuchanshengmanxiyang
春风摇江天漠漠	chunfengyaojiangtianmomo
长而无述焉	changerwushuyan
春风知别苦	chunfengzhibieku
夜雨槐花落	yeyuhuaihualuo
唤起两眸清炯炯	huanqiliangmouqingjiongjiong
然后从而刑之	ranhoucongerxingzhi
碧水长流广濑川	bishuichangliuguanglaichuan
博山炉中沉香火	boshanluzhongchenxianghuo
白首扁舟病独存	baishoupianzhoubingducun
先生不知何许人也	xianshengbuzhihexurenye
至人之用心若镜	zhirenzhiyongxinruojing
四蹄皆血流	sitijiexueliu
车错毂兮短兵接	checuoguxiduanbingjie
乍暖还轻冷	zhanuanhaiqingleng
何处人间似仙境	hechurenjiansixianjing
山林迹如扫	shanlinjirusao
荆钗任意撩新鬓	jingchairenyiliaoxinbin
此翁白头真可怜	ciwengbaitouzhenkelian
便可白公姥	biankebaigonglao
万古遗水滨	wanguyishuibin
奉乞桃栽一百根	fengqitaozaiyibaigen
感慨系之矣	gankaixizhiyi
不如当身自簪缨	burudangshenzizanying
天高岘首春	tiangaoxianshouchun
若无罪而就死地	ruowuzuierjiusidi
九州始蚕麻	jiuzhoushicanma
何者为彭殇	hezheweipengshang
将向中流匹晚霞	jiangxiangzhongliupiwanxia
古来得意不相负	gulaideyibuxiangfu
夫固将自化	fugujiangzihua
万物兴歇皆自然	wanwuxingxiejieziran
以御于家邦	yiyuyujiabang
狂风大放颠	kuangfengdafangdian
岂料山中有遗宝	qiliaoshanzhongyouyibao
妙香山上战旗妍	miaoxiangshanshangzhanqiyan
竹露夕微微	zhuluxiweiwei
永安宫外踏青来	yongangongwaitaqinglai
赖有明朝看潮在	laiyoumingzhaokanchaozai|laiyoumingchaokanchaozai
卧看满天云不动	wokanmantianyunbudong
饮如长鲸吸百川	yinruchangjingxibaichuan
鳞皴皮似松	lincunpisisong
娥娥红粉妆	eehongfenzhuang
从来寥落意	conglailiaoluoyi
执弹而留之	zhitanerliuzhi|zhidanerliuzhi
慎勿将身轻许人	shenwujiangshenqingxuren
卧乘篮舆睡中归	wochenglanyushuizhonggui
多方骈枝于五藏之情者	duofangpianzhiyuwucangzhiqingzhe|duofangpianzhiyuwuzangzhiqingzhe
次第岂无风雨	cidiqiwufengyu
两廊振法鼓	lianglangzhenfagu
犹记当时烽火里	youjidangshifenghuoli
东风暗换年华	dongfenganhuannianhua
相逢俱涕零	xiangfengjutiling
茫茫走胡兵	mangmangzouhubing
高丘怀宋玉	gaoqiuhuaisongyu
倚杖候荆扉	yizhanghoujingfei
谷米与贤才	gumiyuxiancai
潋潋摇空碧	lianlianyaokongbi
巧偷豪夺古来有	qiaotouhaoduogulaiyou
其在宗庙朝廷	qizaizongmiaochaoting
则君使人导之出疆	zejunshirendaozhichujiang
岂能投死为韩凭	qinengtousiweihanping
应拜霍嫖姚	yingbaihuopiaoyao
春归秣陵树	chunguimolingshu
小人不可大受	xiaorenbukedashou
弹看飞鸿劝胡酒	dankanfeihongquanhujiu|tankanfeihongquanhujiu
汉主山河锦绣中	hanzhushanhejinxiuzhong
愿闻子之志	yuanwenzizhizhi
将命者出户	jiangmingzhechuhu
已外浮名更外身	yiwaifuminggengwaishen
何以拜姑嫜	heyibaiguzhang
题扬州禅智寺	tiyangzhouchanzhisi
无夕不思量	wuxibusiliang
告归常局促	gaoguichangjucu
萧萧梁栋秋	xiaoxiaoliangdongqiu
伊水黄金线一条	yishuihuangjinxianyitiao
吾问无为谓	wuwenwuweiwei
以天下之美为尽在己	yitianxiazhimeiweijinzaiji
吾属今为之虏矣	wushujinweizhiluyi
高低顺过风	gaodishunguofeng
正声易漂沦	zhengshengyipiaolun
四代三公族	sidaisangongzu
杯中酒不空	beizhongjiubukong
汝安则为之	ruanzeweizhi
每日报平安	meiribaopingan
何日功成名遂了	herigongchengmingsuile
旧来好事今能否	jiulaihaoshijinnengfou
家在梦中何日到	jiazaimengzhongheridao
苍茫值晚春	cangmangzhiwanchun
马之死者十二三矣	mazhisizheshiersanyi
独有宦游人	duyouhuanyouren
安心是药更无方	anxinshiyaogengwufang
君家妇难为	junjiafunanwei
杳杳没孤鸿	yaoyaomeiguhong
謇朝谇而夕替	jianchaosuierxiti
任是无情也动人	renshiwuqingyedongren
项羽兵四十万	xiangyubingsishiwan
心静海鸥知	xinjinghaiouzhi
窃听琴声碧窗里	qietingqinshengbichuangli
志与秋霜洁	zhiyuqiushuangjie
必也临事而惧	biyelinshierju
枝枝相覆盖	zhizhixiangfugai
洛城重相见	luochengzhongxiangjian
果擘洞庭橘	guobodongtingju
四邻何所有	silinhesuoyou
敕赐珊瑚白玉鞭	chicishanhubaiyubian
绣成歌舞衣	xiuchenggewuyi
昨夜还曾倚	zuoyehaicengyi
万里横烟浪	wanlihengyanlang
二类相召也	erleixiangzhaoye
荣光休气纷五彩	rongguangxiuqifenwucai
中有万斛香	zhongyouwanhuxiang
昏昏雪意云垂野	hunhunxueyiyunchuiye
虢州岑二十七长史参三十韵	guozhoucenershiqizhangshicansanshiyun
鲁酒不可醉	lujiubukezui
何时见阳春	heshijianyangchun
促织鸣东壁	cuzhimingdongbi
所系者然也	suoxizheranye
一枕黄粱再现	yizhenhuangliangzaixian
英姿飒爽来酣战	yingzisashuanglaihanzhan
新诗出谈笑	xinshichutanxiao
战伐有功业	zhanfayougongye
若无清风吹	ruowuqingfengchui
略有其名存	lueyouqimingcun
笔端还有五湖心	biduanhaiyouwuhuxin
晚成单罗衫	wanchengdanluoshan
孤屿媚中川	guyumeizhongchuan
人静乌鸢自乐	renjingwuyuanzile
江边一盖青	jiangbianyigaiqing
飞车跨山鹘横海	feichekuashanguhenghai|feichekuashanhuhenghai
死已三千岁矣	siyisanqiansuiyi
杨桴击节雷阗阗	yangfujijieleitiantian
当时屋瓦始称珍	dangshiwuwashichengzhen
白门寥落意多违	baimenliaoluoyiduowei
殷礼吾能言之	yinliwunengyanzhi
非尔所及也	feiersuojiye
自有岁寒心	ziyousuihanxin
入河蟾不没	ruhechanbumei
我叩其两端而竭焉	wokouqiliangduanerjieyan
遗爱寺钟欹枕听	yiaisizhongqizhenting
抱关老卒饥不眠	baoguanlaozujibumian
画图省识春风面	huatushengshichunfengmian
尘世难逢开口笑	chenshinanfengkaikouxiao
三嫌老丑换蛾眉	sanxianlaochouhuanemei
万点雪峰晴	wandianxuefengqing
入门四松在	rumensisongzai
下无法守也	xiawufashouye
去去思君深	ququsijunshen
我屋公墩在眼中	wowugongdunzaiyanzhong
惆怅难再述	chouchangnanzaishu
青春都一饷	qingchundouyixiang
岩上无心云相逐	yanshangwuxinyunxiangzhu
几回读罢几回痴	jihuidubajihuichi
恨到归时方始休	hendaoguishifangshixiu
丰湖有藤菜	fenghuyoutengcai
杜工部蜀中离席	dugongbushuzhonglixi
大雪深数尺	daxueshenshuchi
出入高下穷烟霏	churugaoxiaqiongyanfei
鸟去天路长	niaoqutianluchang
我来竟何事	wolaijingheshi
一时归去作闲人	yishiguiquzuoxianren
虽未量岁功	suiweiliangsuigong
数间茅屋闲临水	shujianmaowuxianlinshui
女娲戏黄土	nvwaxihuangtu
而果其贤乎	erguoqixianhu
今沛公先破秦入咸阳	jinpeigongxianpoqinruxianyang
子欲居九夷	ziyujujiuyi
云起太华山	yunqitaihuashan
不知何时已而不虚	buzhiheshiyierbuxu
项伯即入见沛公	xiangbojirujianpeigong
其如镊白休	qiruniebaixiu
迟日江山暮	chirijiangshanmu
老校于君合先退	laoxiaoyujunhexiantui
群彦今汪洋	qunyanjinwangyang
今日相逢无酒钱	jinrixiangfengwujiuqian
东门白下亭	dongmenbaixiating
昌亭旅食年	changtinglvshinian
红艳青旗朱粉楼	hongyanqingqizhufenlou
广德若不足	guangderuobuzu
揽茹蕙以掩涕兮	lanruhuiyiyantixi
窈窕无双颜如玉	yaotiaowushuangyanruyu
天上何所有	tianshanghesuoyou
一身无所求	yishenwusuoqiu
离别家乡岁月多	libiejiaxiangsuiyueduo
一言而可以兴邦	yiyanerkeyixingbang
维舟绿杨岸	weizhoulvyangan
敝庐何必广	biluhebiguang
风景触乡愁	fengjingchuxiangchou
赦书一日行万里	sheshuyirixingwanli
不知龙神享几多	buzhilongshenxiangjiduo
泰山嵯峨夏云在	taishancuoexiayunzai
雨洗东坡月色清	yuxidongpoyueseqing
囊括四海之意	nangkuosihaizhiyi
忽忆两京梅发时	huyiliangjingmeifashi
千梳冷快肌骨醒	qianshulengkuaijiguxing
令公桃李满天下	linggongtaolimantianxia
口脂面药随恩泽	kouzhimianyaosuienze
枯松倒挂倚绝壁	kusongdaoguayijuebi
平铺湘水流	pingpuxiangshuiliu
也知塞垣苦	yezhisaiyuanku
南方有鸟焉	nanfangyouniaoyan
白鸡梦后三百岁	baijimenghousanbaisui
未至衔枚颜色沮	weizhixianmeiyanseju
幽州胡马客	youzhouhumake
天地无终极	tiandiwuzhongji
人之生也直	renzhishengyezhi
知皆扩而充之矣	zhijiekuoerchongzhiyi
崔李题名王白诗	cuilitimingwangbaishi
昔者庄周梦为胡蝶	xizhezhuangzhoumengweihudie
故有斯人慰寂寥	guyousirenweijiliao
圆齐玉箸头	yuanqiyuzhutou
弟子韩干早入室	dizihanganzaorushi
愁人知夜长	chourenzhiyechang
槎牙乱峰合	chayaluanfenghe
桂花成实向秋荣	guihuachengshixiangqiurong
心足虽贫不道贫	xinzusuipinbudaopin
愁人正在书窗下	chourenzhengzaishuchuangxia
钓台碧云中	diaotaibiyunzhong
千枝次第开	qianzhicidikai
初移一寸根	chuyiyicungen
清平乐六盘山	qingpingleliupanshan
孤灯此夜情	gudengciyeqing
池台竹树三亩馀	chitaizhushusanmuyu
麋鹿见之决骤	milujianzhijuezhou
覆水再收岂满杯	fushuizaishouqimanbei
恐是潘安县	kongshipananxian
嫩剥青菱角	nenboqinglingjiao
人之所美也	renzhisuomeiye
揭竿命爵分雄雌	jieganmingjuefenxiongci
桃花流水鮆鱼肥	taohualiushuijiyufei|taohualiushuiciyufei
极娱游于暇日	jiyuyouyuxiari
极目散我忧	jimusanwoyou
圆因裁制功	yuanyincaizhigong
秋日登吴公台上寺远眺	qiuridengwugongtaishangsiyuantiao
孟夏思渭村旧居寄舍弟	mengxiasiweicunjiujujishedi
臆碎羽分人不悲	yisuiyufenrenbubei
柳绿更带春烟	liulvgengdaichunyan
哭声直上干云霄	kushengzhishangganyunxiao
于今为庶为青门	yujinweishuweiqingmen
则反一无迹	zefanyiwuji
豪士集新亭	haoshijixinting
谁知临老相逢日	shuizhilinlaoxiangfengri
我歌今与君殊科	wogejinyujunshuke
朗吟六公篇	langyinliugongpian
辛勤三十日	xinqinsanshiri
醉时吐出胸中墨	zuishituchuxiongzhongmo
雁引愁心去	yanyinchouxinqu
泪融残粉花钿重	leirongcanfenhuadianzhong
其为形也亦外矣	qiweixingyeyiwaiyi
君家有贻训	junjiayouyixun
今日南湖采薇蕨	jinrinanhucaiweijue
有黄鹂千百	youhuangliqianbai
膏面染须聊自欺	gaomianranxuliaoziqi
逍遥地上仙	xiaoyaodishangxian
齐歌空复情	qigekongfuqing
非轩冕之谓也	feixuanmianzhiweiye
被石兰兮带杜衡	beishilanxidaiduheng
迎笑天香满袖	yingxiaotianxiangmanxiu
不为刘家贤圣物	buweiliujiaxianshengwu
风俗如狂重此时	fengsurukuangzhongcishi
怜君何事到天涯	lianjunheshidaotianya
阵图开向陇山东	zhentukaixianglongshandong
虽在缧绁之中	suizaileixiezhizhong
欲访云中君	yufangyunzhongjun
山染修眉新绿	shanranxiumeixinlv
铜缾煮露华	tongpingzhuluhua
求也问闻斯行诸	qiuyewenwensixingzhu
花鬘斗薮龙蛇动	huamandousoulongshedong
无物结同心	wuwujietongxin
能使清凉头不热	nengshiqingliangtoubure
结庐锦水边	jielujinshuibian
人生留滞生理难	renshengliuzhishenglinan
三月下瞿塘	sanyuexiaqutang
角声孤起夕阳楼	jiaoshengguqixiyanglou
爱兹田中趣	aizitianzhongqu
明朝独向青山郭	mingzhaoduxiangqingshanguo|mingchaoduxiangqingshanguo
衰怀造胜境	shuaihuaizaoshengjing
退耕力不任	tuigengliburen
肠深解不得	changshenjiebude
望之而不见其崖	wangzhierbujianqiya
代迎春花招刘郎中	daiyingchunhuazhaoliulangzhong
鲁女东窗下	lunvdongchuangxia
下言久离别	xiayanjiulibie
金霞昕昕渐东上	jinxiaxinxinjiandongshang
毫毛不敢有所近	haomaobuganyousuojin
洞中开宴会	dongzhongkaiyanhui
还喜花开依旧数	haixihuakaiyijiushu
玉界琼田三万顷	yujieqiongtiansanwanqing
平生塞北江南	pingshengsaibeijiangnan
潜匿游下邳	qianniyouxiapi
云雨朝还暮	yunyuchaohaimu
不随桃李一时开	busuitaoliyishikai
灵之来兮如云	lingzhilaixiruyun
别裁伪体亲风雅	biecaiweitiqinfengya
春星带草堂	chunxingdaicaotang
惆怅空知思后会	chouchangkongzhisihouhui
周公兼夷狄	zhougongjianyidi
兹山何峻秀	zishanhejunxiu
根盘今在阖闾城	genpanjinzaihelvcheng
屐上足如霜	jishangzurushuang
味暖并无忧	weinuanbingwuyou
红梅不屈服	hongmeibuqufu
飞云当面化龙蛇	feiyundangmianhualongshe
碧眼照山谷	biyanzhaoshangu
朝餐是草根	chaocanshicaogen
而可小知也	erkexiaozhiye
朝骋骛兮江皋	chaochengwuxijianggao
不记来时路	bujilaishilu
士有道德不能行	shiyoudaodebunengxing
花面丫头十三四	huamianyatoushisansi
痛饮从来别有肠	tongyinconglaibieyouchang
侧出岸沙枫半死	cechuanshafengbansi
持一象笏至	chiyixianghuzhi
村南无限桃花发	cunnanwuxiantaohuafa|cunnamoxiantaohuafa
假面胡人假狮子	jiamianhurenjiashizi
退而省其私	tuiershengqisi
富贵必从勤苦得	fuguibicongqinkude
范增数目项王	fanzengshumuxiangwang
一夜征人尽望乡	yiyezhengrenjinwangxiang
宿云解驳晨光漏	suyunjiebochenguanglou
客行悲故乡	kexingbeiguxiang
空山草木长	kongshancaomuchang
假令风歇时下来	jialingfengxieshixialai
死生无变于己	sishengwubianyuji
客心何事转凄然	kexinheshizhuanqiran
门外韩擒虎	menwaihanqinhu
非蛇鳝之穴无可寄托者	feisheshanzhixuewukejituozhe
千灯夜作鱼龙变	qiandengyezuoyulongbian
鱼龙寂寞秋江冷	yulongjimoqiujiangleng
出置前窗下	chuzhiqianchuangxia
闲引鸳鸯香径里	xianyinyuanyangxiangjingli
相期邈云汉	xiangqimiaoyunhan
以友天下之善士为未足	yiyoutianxiazhishanshiweiweizu
然得而腊之以为饵	randeerlazhiyiweier
一方黑照三方紫	yifangheizhaosanfangzi
群臣安在哉	qunchenanzaizai
白发日夜催	baifariyecui
子房未虎啸	zifangweihuxiao
种柳柳江边	zhongliuliujiangbian
蜀人几为鱼	shurenjiweiyu
秋花紫蒙蒙	qiuhuazimengmeng
是得人之得而不自得其得者也	shiderenzhideerbuzideqidezheye|shideirenzhideerbuzideqidezheye
何时复见还	heshifujianhai
鱼儿相逐尚相欢	yuerxiangzhushangxianghuan
乍贫难改旧家风	zhapinnangaijiujiafeng
有酒斟酌之	youjiuzhenzhuozhi
道之将废也与	daozhijiangfeiyeyu
唯说山中有桂枝	weishuoshanzhongyouguizhi
更夺蓬婆雪外城	gengduopengpoxuewaicheng
三年流落巴山道	sannianliuluobashandao
吾未见刚者	wuweijiangangzhe
而后知天下之巨丽	erhouzhitianxiazhijuli
牛衣古柳卖黄瓜	niuyiguliumaihuanggua
不仁而在高位	burenerzaigaowei
夺项王天下者必沛公也	duoxiangwangtianxiazhebipeigongye
君不见走马川行雪海边	junbujianzoumachuanxingxuehaibian
雨色风吹去	yusefengchuiqu
是所以语大义之方	shisuoyiyudayizhifang
贵人皆怪怒	guirenjieguainu
酒意诗情谁与共	jiuyishiqingshuiyugong|jiuyishiqingsheiyugong
此别不销魂	cibiebuxiaohun
天涯哭此时	tianyakucishi
黄姑织女时相见	huangguzhinvshixiangjian
懒朝真与世相违	lanchaozhenyushixiangwei
素手玉房前	sushouyufangqian
尽是补天余	jinshibutianyu
久雨初晴天气新	jiuyuchuqingtianqixin
三年之丧毕	sannianzhisangbi
珠箔悬银钩	zhuboxuanyingou
照吾槛兮扶桑	zhaowukanxifusang
携手共行乐	xieshougongxingle
极目少行客	jimushaoxingke
夫维圣哲以茂行兮	fuweishengzheyimaoxingxi
年年岁岁一床书	nianniansuisuiyichuangshu
宗之潇洒美少年	zongzhixiaosameishaonian
杞不足征也	qibuzuzhengye
鲤退而学礼	lituierxueli
有作成一囊	youzuochengyinang
今直为此萧艾也	jinzhiweicixiaoaiye
不知口体之奉不若人也	buzhikoutizhifengburuorenye
圆魄上寒空	yuanposhanghankong
客路青山外	keluqingshanwai
双鬓隔香红	shuangbingexianghong
锦带休惊雁	jindaixiujingyan
则吾从先进	zewucongxianjin
阅人如阅川	yuerenruyuechuan
望秦关何处	wangqinguanhechu
百年歌自苦	bainiangeziku
良宵盛会喜空前	liangxiaoshenghuixikongqian
更遭丧乱嫁不售	gengzaosangluanjiabushou
众山遥对酒	zhongshanyaoduijiu
好向昭阳宿	haoxiangzhaoyangsu
昔饮雩泉别常山	xiyinyuquanbiechangshan
千丈岩瀑布	qianzhangyanpubu
乍富不知新受用	zhafubuzhixinshouyong
从此梦归无别路	congcimengguiwubielu
非德也而可长久者	feideyeerkechangjiuzhe
何事历衡霍	heshilihenghuo
吾力犹能肆汝杯	wuliyounengsirubei
与百姓同之	yubaixingtongzhi
东风吹我过湖船	dongfengchuiwoguohuchuan
自移一榻西窗下	ziyiyitaxichuangxia
空灵霞石峻	konglingxiashijun
暖汤濯我足	nuantangzhuowozu
周瑜于此破曹公	zhouyuyucipocaogong
酌茗开静筵	zhuomingkaijingyan
岂伊地气暖	qiyidiqinuan
梦逐春风到洛城	mengzhuchunfengdaoluocheng
相见无杂言	xiangjianwuzayan
即事多所欣	jishiduosuoxin
淮水东南第一州	huaishuidongnandiyizhou
宿酲寂寞眠初起	suchengjimomianchuqi
秋水日潺湲	qiushuirichanyuan
席不暖君床	xibunuanjunchuang
上阳白发人	shangyangbaifaren
为我买田临汶水	weiwomaitianlinwenshui
夫道不欲杂	fudaobuyuza
火山赤崔巍	huoshanchicuiwei
无时而不移	wushierbuyi
多少长安名利客	duoshaochanganminglike
相见语依依	xiangjianyuyiyi
朝来入庭树	chaolairutingshu
若似剡中容易到	ruosishanzhongrongyidao
传与琵琶心自知	chuanyupipaxinzizhi
处处楼前飘管吹	chuchulouqianpiaoguanchui
鲁叟谈五经	lusoutanwujing
虽盗跖与伯夷	suidaozhiyuboyi
客有桂阳至	keyouguiyangzhi
人不忘其所忘而忘其所不忘	renbuwangqisuowangerwangqisuobuwang
升沉不改故人情	shengchenbugaigurenqing
还君一掬泪	haijunyijulei
树蜜早蜂乱	shumizaofengluan
鼎司费万钱	dingsifeiwanqian
一笑相倾国便亡	yixiaoxiangqingguobianwang
不知墙外是谁家	buzhiqiangwaishishuijia
君不见晋朝羊公一片石	junbujianjinchaoyanggongyipianshi
崔君夸药力	cuijunkuayaoli
泪痕红悒鲛绡透	leihenhongyijiaoxiaotou
山空霸气灭	shankongbaqimie
今夜江头明月多	jinyejiangtoumingyueduo
树树立风雪	shushulifengxue
五溪无人采	wuxiwurencai
微云淡河汉	weiyundanhehan
千山浓绿生云外	qianshannonglvshengyunwai
暂忘设醴抽身去	zanwangshelichoushenqu
不可知者也	bukezhizheye
幽独处乎山中	youduchuhushanzhong
春生江上几人还	chunshengjiangshangjirenhai
垂竿已羡磻溪老	chuiganyixianboxilao|chuiganyixianpanxilao
昨日看花花灼灼	zuorikanhuahuazhuozhuo
稚子夜能赊	zhiziyenengshe
替人垂泪到天明	tirenchuileidaotianming
水荇牵风翠带长	shuixingqianfengcuidaichang
儿女罗酒浆	ernvluojiujiang
人且偃然寝于巨室	renqieyanranqinyujushi
天人不相干	tianrenbuxianggan
得之心而寓之酒也	dezhixineryuzhijiuye
童稚开荆扉	tongzhikaijingfei
无那金闺万里愁	wunajinguiwanlichou
流光灭远山	liuguangmieyuanshan
而不能至者	erbunengzhizhe
浩荡离愁白日斜	haodanglichoubairixie
水面桃花弄春脸	shuimiantaohuanongchunlian
清浅白石滩	qingqianbaishitan
香径得泥归	xiangjingdenigui
还有江南风物否	haiyoujiangnanfengwufou
汉宫侍女暗垂泪	hangongshinvanchuilei
岂其有他故兮	qiqiyoutaguxi
柳暗花明池上山	liuanhuamingchishangshan
曾不如早索我于枯鱼之肆	cengburuzaosuowoyukuyuzhisi
我欲穿花寻路	woyuchuanhuaxunlu
高处连玉京	gaochulianyujing
园花经雨百般红	yuanhuajingyubaibanhong
白袷玉郎寄桃叶	baiqiayulangjitaoye
征帆一片绕蓬壶	zhengfanyipianraopenghu
在德不在险	zaidebuzaixian
诟索之而不得也	gousuozhierbudeye
彩翠色如柏	caicuiserubai
头戴莲花巾	toudailianhuajin
前登灵境青霄绝	qiandenglingjingqingxiaojue
藏小大有宜	cangxiaodayouyi
天明独去无道路	tianmingduquwudaolu
峰多巧障日	fengduoqiaozhangri
或谓孔子曰	huoweikongziyue
落月满屋梁	luoyuemanwuliang
昔为倡家女	xiweichangjianv
琴绝最伤情	qinjuezuishangqing
绿娇隐约眉轻扫	lvjiaoyinyuemeiqingsao
叉牙出骨须	chayachuguxu
春水船如天上坐	chunshuichuanrutianshangzuo
寂寂寥寥扬子居	jijiliaoliaoyangziju
未足比光辉	weizubiguanghui
海色明徂徕	haisemingculai
散在六合间	sanzailuhejian
山如碧浪翻江去	shanrubilangfanjiangqu
映得芙蓉不是花	yingdefurongbushihua
日晚上楼招估客	riwanshanglouzhaoguke
帘幕深深处	lianmushenshenchu
遥见飞尘入建章	yaojianfeichenrujianzhang
妾心藕中丝	qiexinouzhongsi
他日汝当用之	tarirudangyongzhi
教坊犹奏别离歌	jiaofangyouzoubielige
精用而不已则劳	jingyongerbuyizelao
能以精诚致魂魄	nengyijingchengzhihunpo
运移汉祚终难复	yunyihanzuozhongnanfu
信着全无是处	xinzhequanwushichu
不出门来又数旬	buchumenlaiyoushuxun
悲歌为黎元	beigeweiliyuan
润胜莲生水	runshenglianshengshui
予恶乎知恶死之非弱丧而不知归者邪	yuehuzhiesizhifeiruosangerbuzhiguizhexie
所以遣将守关者	suoyiqianjiangshouguanzhe
今之狂也荡	jinzhikuangyedang
可以意致者	keyiyizhizhe
半盏屠苏犹未举	banzhantusuyouweiju
岂曰财赋强	qiyuecaifuqiang
江清日暖芦花转	jiangqingrinuanluhuazhuan
中有老法师	zhongyoulaofashi
今朝忽见数花开	jinzhaohujianshuhuakai
心知所见皆幻影	xinzhisuojianjiehuanying
纤纤出素手	xianxianchusushou
奋迅毛衣摆双耳	fenxunmaoyibaishuanger
隔在远远乡	gezaiyuanyuanxiang
重重叠叠上瑶台	chongchongdiedieshangyaotai
得列嘉树中	deliejiashuzhong
麝香眠石竹	shexiangmianshizhu
递相祖述复先谁	dixiangzushufuxianshui
半生身老心闲	banshengshenlaoxinxian
夜深花正寒	yeshenhuazhenghan
对酒不能酬	duijiubunengchou
可怜亦进姚黄花	kelianyijinyaohuanghua
前既犯患若是矣	qianjifanhuanruoshiyi
就死意甚烈	jiusiyishenlie
塞上风云接地阴	saishangfengyunjiediyin
其势必不敢留君	qishibibuganliujun
绿翠如芙蓉	lvcuirufurong
小树枣花春	xiaoshuzaohuachun
鹦鹉啄金桃	yingwuzhuojintao
下床畏蛇食畏药	xiachuangweisheshiweiyao
孤负当年林下意	gufudangnianlinxiayi
倒被紫绮裘	daobeiziqiqiu
道是无情还有情	daoshiwuqinghaiyouqing
横大江兮扬灵	hengdajiangxiyangling
彼其道幽远而无人	biqidaoyouyuanerwuren
夫焉取九子	fuyanqujiuzi
未必知其道也	weibizhiqidaoye
草草杯盘供笑语	caocaobeipangongxiaoyu
捐弹而反走	juantanerfanzou|juandanerfanzou
灼灼芙蓉姿	zhuozhuofurongzi
遥看一处攒云树	yaokanyichucuanyunshu
二十年来谙世路	ershinianlaianshilu
烟花不堪剪	yanhuabukanjian
环佩空归月夜魂	huanpeikongguiyueyehun
来访真人居	laifangzhenrenju
铜驼夜来哭	tongtuoyelaiku
未饮心先醉	weiyinxinxianzui
有策不敢犯龙鳞	youcebuganfanlonglin
瞻前而顾后兮	zhanqianerguhouxi
愿为西南风	yuanweixinanfeng
项王默然不应	xiangwangmoranbuying
