阿二	A Er
毛文珠	Mao Wen Zhu
梅超风	Mei Chao Feng
梅芳姑	Mei Fang Gu
梅剑	Mei Jian
梅剑和	Mei Jian He
梅良鸣	Mei Liang Ming
梅念笙	Mei Nian Sheng
梅文馨	Mei Wen Xin
孟伯飞	Meng Bo Fei
蒙哥	Meng Ge
梦姑	Meng Gu
孟健雄	Meng Jian Xiong
孟师叔	Meng Shi Shu
孟铮	Meng Zheng
孟正鸿	Meng Zheng Hong
孟铸	Meng Zhu
米横野	Mi Heng Ye
米思翰	Mi Si Han
米为义	Mi Wei Yi
妙风使	Miao Feng Shi
苗人凤	Miao Ren Feng
苗若兰	Miao Ruo Lan
灭绝师太	Mie Jue Shi Tai
闵柔	Min Rou
闵子华	Min Zi Hua
明月	Ming Yue
明珠	Ming Zhu
莫大	Mo Da
摩诃巴思	Mo He Ba Si
莫声谷	Mo Sheng Gu
木岛主	Mu Dao Zhu
木高峰	Mu Gao Feng
穆贵妃	Mu Gui Fei
木华黎	Mu Hua Li
沐剑屏	Mu Jian Ping
沐剑声	Mu Jian Sheng
穆念慈	Mu Nian Ci
穆人清	Mu Ren Qing
慕容博	Mu Rong Bo
慕容复	Mu Rong Fu
慕容景岳	Mu Rong Jing Yue
木桑道长	Mu Sang Dao Zhang
慕天颜	Mu Tian Yan
木婉清	Mu Wan Qing
木文察	Mu Wen Cha
木卓伦	Mu Zhuo Lun
纳斯尔丁	Na Si Er Ding
南怀仁	Nan Huai Ren
南兰	Nan Lan
南仁通	Nan Ren Tong
南希仁	Nan Xi Ren
倪不大	Ni Bu Da
倪不小	Ni Bu Xiao
倪浩	Ni Hao
尼摩星	Ni Mo Xing
聂钺	Nie Yue
宁强盗	Ning Qiang Dao
宁完我	Ning Wan Wo
宁中则	Ning Zhong Ze
农夫	Nong Fu
农妇	Nong Fu
努儿海	Nu Er Hai
欧阳峰	Ou Yang Feng
欧阳公政	Ou Yang Gong Zheng
欧阳克	Ou Yang Ke
欧阳牧之	Ou Yang Mu Zhi
潘天耕	Pan Tian Geng
潘先生	Pan Xian Sheng
潘秀达	Pan Xiu Da
胖妇人	Pang Fu Ren
胖丐	Pang Gai
胖商人	Pang Shang Ren
胖头陀	Pang Tou Tuo
胖子	Pang Zi
彭参将	Peng Can Jiang
彭连虎	Peng Lian Hu
彭三春	Peng San Chun
彭莹玉	Peng Ying Yu
彭长老	Peng Zhang Lao
皮清云	Pi Qing Yun
平阿四	Ping A Si
平等宝树王	Ping Deng Bao Shu Wang
平夫人	Ping Fu Ren
平工头	Ping Gong Tou
平婆婆	Ping Po Po
平四	Ping Si
平旺先	Ping Wang Xian
平威	Ping Wei
平一指	Ping Yi Zhi
朴者和尚	Pu Zhe He Shang
齐伯涛	Qi Bo Tao
戚长发	Qi Chang Fa
戚芳	Qi Fang
祁六三	Qi Liu San
齐洛诺夫	Qi Luo Nuo Fu
祁清彪	Qi Qing Biao
齐堂主	Qi Tang Zhu
