雅奇	Yaqi
雅思哈	Yasiha
颜扎	Yanzha
阎扎拉	Yanzhala
杨佳	Yangjia
页博充额	Yebochonge
页博肯	Yeboken
页博肯哈哈	Yebokenhaha
叶赫那拉	Yehenala
叶赫朱玛喇	Yehezhumala
伊巴汉	Yibahan
依博丹	Yibodan
宜博诺比	Yibonuobi
伊长阿	Yichanga
伊成额	Yichenge
伊尔根觉罗	Yiergenjueluo
伊尔哈	Yierha
宜尔哈	Yierha
伊尔佳	Yierjia
宜肯额	Yikene
伊拉	Yila
宜勒达蒙阿	Yiledamenga
伊勒根	Yilegen
伊勒根觉罗	Yilegenjueluo
宜勒图	Yiletu
宜里布	Yilibu
宜礼布	Yilibu
宜里恒	Yiliheng
宜林布	Yilinbu
宜绵	Yimian
宜绵比	Yimianbi
伊穆图	Yimutu
依诺	Yinuo
宜齐芬涅贺	Yiqifenniehe
伊奇里	Yiqili
宜齐司浑	Yiqisihun
宜齐喜阿库	Yiqixiaku
伊三	Yisan
伊桑阿	Yisanga
宜思哈	Yisiha
伊苏	Yisu
伊图	Yitu
宜兴比	Yixingbi
殷达浑	Yindahun
尹德本	Yindeben
尹德赫	Yindehe
尹敦比	Yindunbi
殷泰	Yintai
禹尔	Yuer
裕胡鲁	Yuhulu
玉抹	Yumo
元宝	Yuanbao
岳丹	Yuedan
岳佳	Yuejia
岳乐	Yuele
岳洛	Yueluo
岳喜本	Yuexiben
札博笃杭阿	Zhaboduhanga
札克丹	Zhakedan
札克萨喀	Zhakesaka
札克善	Zhakeshan
扎库塔	Zhakuta
札喇芬	Zhalafen
札勒甘果勒敏	Zhaleganguolemin
札仑比	Zhalunbi
张尔佳	Zhangerjia
章佳	Zhangjia
阵济	Zhenji
朱成额巴图鲁	Zhuchengebatulu
诸尔甘	Zhuergan
诸尔刚阿	Zhuerganga
诸克图	Zhuketu
褚库巴图鲁	Zhukubatulu
珠玛喇	Zhumala
朱辙	Zhuzhe
追	Zhui
准泰	Zhuntai
卓博喇库宜尔哈	Zhuobolakuyierha
卓尔和	Zhuoerhe
卓尔泰	Zhuoertai
卓克陀达	Zhuoketuoda
卓罗	Zhuoluo
卓木克	Zhuomuke
