陈哀公妫弱	Chenaigongguiruo
陈爱莲	Chenailian
陈安保	Chenanbao
陈安齐	Chenanqi
陈霸先	Chenbaxian
陈白尘	Chenbaichen
陈白沙	Chenbaisha
陈柏霖	Chenbolin
陈柏祥	Chenbaixiang
陈宝国	Chenbaoguo
陈宝莲	Chenbaolian
陈宝箴	Chenbaozhen
陈璧君	Chenbijun
陈斌	Chenbin
陈波	Chenbo
陈波儿	Chenboer
陈伯吹	Chenbochui
陈伯达	Chenboda
陈伯华	Chenbohua
陈伯宗	Chenbozong
陈布雷	Chenbulei
陈昌凤	Chenchangfeng
陈辰	Chenchen
陈成公	Chenchenggong
陈成公妫午	Chenchenggongguiwu
陈诚	Chencheng
陈冲	Chenchong
陈翀	Chenchong
陈闯	Chenchuang
陈春	Chenchun
陈纯甄	Chenchunzhen
陈达	Chenda
陈大悲	Chendabei
陈大齐	Chendaqi
陈大阳	Chendayang
陈道明	Chendaoming
陈道远	Chendaoyuan
陈德容	Chenderong
陈登科	Chendengke
陈东	Chendong
陈独秀	Chenduxiu
陈妃平	Chenfeiping
陈废帝	Chenfeidi
陈废帝陈伯宗	Chenfeidichenbozong
陈峰	Chenfeng
陈凤林	Chenfenglin
陈富杰	Chenfujie
陈纲	Chengang
陈赓	Chengeng
陈公博	Chengongbo
陈功	Chengong
陈宫	Chengong|chena
陈共公	Chengonggong
陈共公妫朔	Chengonggongguishuo
陈冠霖	Chenguanlin
陈冠希	Chenguanxi
陈冠中	Chenguanzhong
陈光	Chenguang
陈国东	Chenguodong
陈果夫	Chenguofu
陈寒峰	Chenhanfeng
陈好	Chenhao
陈昊	Chenhao
陈浩民	Chenhaomin
陈和生	Chenhesheng
陈衡恪	Chenhengke
陈衡哲	Chenhengzhe
陈红	Chenhong
陈红峰	Chenhongfeng
陈洪绶	Chenhongshou
陈洪武	Chenhongwu
陈鸿寿	Chenhongshou
陈鸿远	Chenhongyuan
陈后主	Chenhouzhu
陈后主陈叔宝	Chenhouzhuchenshubao
陈胡公	Chenhugong
陈胡公妫满	Chenhugongguiman
陈虎	Chenhu
陈化成	Chenhuacheng
陈怀公	Chenhuaigong
陈怀公妫柳	Chenhuaigongguiliu
陈桓公	Chenhuangong
陈桓公妫鲍	Chenhuangongguibao
陈荒煤	Chenhuangmei
陈晖	Chenhui
陈惠公	Chenhuigong
陈惠公妫吴	Chenhuigongguiwu
陈惠祯	Chenhuizhen
陈慧琳	Chenhuilin
陈慧珊	Chenhuishan
陈济恒	Chenjiheng
陈继承	Chenjicheng
陈继红	Chenjihong
陈家洛	Chenjialuo
陈家伟	Chenjiawei
陈嘉庚	Chenjiageng
陈嘉桦	Chenjiahua
陈嘉锐	Chenjiarui
陈建斌	Chenjianbin
陈建功	Chenjiangong
陈建国	Chenjianguo
陈建翔	Chenjianxiang
陈剑月	Chenjianyue
陈江波	Chenjiangbo
