阿什哈达摩崖	Ashihadamoya
萨尔浒山	Saerhushan
三道壕西汉村落遗址	Sandaohaoxihancunluoyizhi
三横四直图碑	Sanhengsizhitubei
三灵坟	Sanlingfen
三清殿	Sanqingdian
三清阁	Sanqingge
三山	Sanshan
三山庵	Sanshanan
三山会馆	Sanshanhuiguan
三室墓	Sanshimu
三一八烈士墓	Sanyibalieshimu
三藏塔	Sanzangta
扫叶楼	Saoyelou
啬园	Seyuan
山顶洞人遗址	Shandingdongrenyizhi
山海关	Shanhaiguan
善化寺	Shanhuasi
善化寺大雄宝殿	Shanhuasidaxiongbaodian
善化寺普贤阁	Shanhuasipuxiange
善化寺三圣殿	Shanhuasisanshengdian
善化寺山门	Shanhuasishanmen
善卷洞	Shanjuandong
山神峪千佛洞	Shanshenyuqianfodong
山西省博物馆	Shanxishengbowuguan
上帝庙	Shangdimiao
上方山	Shangfangshan
上海博物馆	Shanghaibowuguan
上海动物园	Shanghaidongwuyuan
上海鲁迅故属	Shanghailuxungushu
上海体育馆	Shanghaitiyuguan
上海植物园	Shanghaizhiwuyuan
上海自然博物馆	Shanghaiziranbowuguan
上京会宁府遗址	Shangjinghuiningfuyizhi
上堂门	Shangtangmen
烧锅营子燕长城址	Shaoguoyingziyanchangchengzhi
少林寺	Shaolinsi
社稷坛	Shejitan
舍利塔	Shelita
神乐署	Shenleshu
神武门	Shenwumen
沈阳故宫	Shenyanggugong
圣姑庙	Shenggumiao
圣寿寺	Shengshousi
圣寿寺舍利塔	Shengshousishelita
圣塔院寺塔	Shengtayuansita
圣天寺	Shengtiansi
什刹海	Shichahai
时池	Shichi
石灯塔	Shidengta
十渡	Shidu
十方普觉寺	Shifangpujuesi
石房子	Shifangzi
释迦如来舍利塔	Shijiarulaishelita
石金刚	Shijingang
石景山冰川擦痕	Shijingshanbingchuancahen
史可法祠墓	Shikefacimu
石马寺	Shimasi
施耐庵墓	Shinaianmu
石牌坊	Shipaifang
石棚山	Shipengshan
石棚山石棚	Shipengshanshipeng
十七孔桥	Shiqikongqiao
实胜寺	Shishengsi
石塔	Shita
石头诚	Shitoucheng
石像生	Shixiangsheng
室相寺旭华之阁	Shixiangsixuhuazhige
