安吉竹鸡	anjizhuji
肉酿生麸	rouniangshengfu
肉茸豆腐	rourongdoufu
肉丸	rouwan
如意海参	ruyihaishen
软熘桂鱼	ruanliuguiyu
软酥猪腰	ruansuzhuyao
软炸里脊	ruanzhaliji
赛蟹羹	saixiegeng
三层套鸡	sancengtaoji
三大炮	sandapao
三顾冒菜	sangumaocai
三美豆腐	sanmeidoufu
三丝敲鱼	sansiqiaoyu
三丝鱼翅	sansiyuchi
三套鸭	santaoya
三虾豆腐	sanxiadoufu
三鲜馄饨	sanxianhuntun
三鲜焖海参	sanxianmenhaishen
馓子豆花	sanzidouhua
沙茶鸡丁	shachajiding
沙地马蹄鳖	shadimatibie
砂锅炖狗肉	shaguodungourou
砂锅粥	shaguozhou
啥汤	shatang
山东海参	shandonghaishen
山东蒸丸	shandongzhengwan
鳝段粉丝	shanduanfensi
珊瑚菜卷	shanhucaijuan
鳝鱼火锅	shanyuhuoguo
鳝鱼席	shanyuxi
伤心凉粉	shangxinliangfen
烧安南子	shaoannanzi
烧白	shaobai
烧鹅	shaoe
烧公鸡	shaogongji
烧鸡公	shaojigong
烧素烩	shaosuhui
绍虾球	shaoxiaqiu
绍兴麻鸭	shaoxingmaya
烧雁鹅	shaoyane
烧鱼白	shaoyubai
烧占肉	shaozhanrou
蛇宴	sheyan
蛇油牛肉	sheyouniurou
生爆水鱼	shengbaoshuiyu
生菜龙虾	shengcailongxia
石锅鲃泥鳅	shiguobaniqiu
什锦冬瓜帽	shijindongguamao
什锦乌石参	shijinwushican
什锦西瓜盅	shijinxiguazhong
石渠白菌炖土鸡	shiqubaijunduntuji
食抓糍	shizhuaci
涮九品	shuanjiupin
涮兔肉	shuanturou
双爆串飞	shuangbaochuanfei
双脆锅巴	shuangcuiguoba
爽口牛丸	shuangkouniuwan
双麻箩卜饼	shuangmaluobubing
双皮刀鱼	shuangpidaoyu
双钱蛋茹	shuangqiandanru
双味蝤蠓	shuangweiyoumeng
双味蝤蛑	shuangweiyoumou
水晶肴肉	shuijingyaorou
水晶肴蹄	shuijingyaoti
水煮牛肉	shuizhuniurou
水煮肉片	shuizhuroupian
水煮鱼等	shuizhuyudeng
水煮鱼为	shuizhuyuwei
四生片火锅	sishengpianhuoguo
四喜饺	sixijiao
四喜丸子	sixiwanzi
松茸素鳕鱼卷佐素鱼香茄子	songrongsuxueyujuanzuosuyuxiangqiezi
松茸鸭翅	songrongyachi
宋嫂鱼羹	songsaoyugeng
松鼠桂鱼	songshuguiyu
松鼠鳜鱼	songshuguiyu
松鼠鱼	songshuyu
松子肉	songzirou
松子糖	songzitang
酥海带	suhaidai
酥肉	surou
苏式酱肉和酱鸭	sushijiangrouhejiangya
苏锡菜	suxicai
苏州汤包	suzhoutangbao
酸菜鱼	suancaiyu
酸辣笔筒鱿鱼	suanlabitongyouyu
酸辣冲菜	suanlachongcai
酸辣豆花	suanladouhua
酸辣粉	suanlafen
酸辣狗肉	suanlagourou
酸辣鸭雪	suanlayaxue
酸萝卜老鸭汤	suanluobolaoyatang
蒜泥白肉	suannibairou
蒜子鞭花	suanzibianhua
蒜子鱼皮	suanziyupi
睢宁香肠	suiningxiangchang
梭边鱼火锅	suobianyuhuoguo
蓑衣虾球	suoyixiaqiu
苔菜拖黄鱼	taicaituohuangyu
苔菜小方烤	taicaixiaofangkao
苔干	taigan
太极芋泥	taijiyuni
太虚丸子	taixuwanzi
太爷鸡	taiyeji
谭豆花	tandouhua
糖醋鳜鱼	tangcuguiyu
糖醋里脊	tangculiji
糖醋鲤鱼	tangculiyu
糖醋排骨	tangcupaigu
糖醋沅白	tangcuyuanbai
汤泡肚	tangpaodu
桃源铜锤鸡腿	taoyuantongchuijitui
甜烧白	tianshaobai
跳水鱼	tiaoshuiyu
头肚须鱼	touduxuyu
兔火锅	tuhuoguo
氽黄管脊髓	tunhuangguanjisui
万三蹄	wansanti
丸子汤	wanzitang
网油叉烧洞庭桂鱼	wangyouchashaodongtingguiyu
温府豆汤饭	wenfudoutangfan
文公菜	wengongcai
文思豆腐	wensidoufu
问政山笋	wenzhengshansun
五彩炒蛇丝	wucaichaoshesi
五彩鳝丝	wucaishansi
吴抄手	wuchaoshou
乌柳居	wuliuju
五柳居	wuliuju
五碗代表	wuwandaibiao
无锡肉骨头	wuxirougutou
无锡油面筋	wuxiyoumianjin
五香酱鸡	wuxiangjiangji
五香酱肉	wuxiangjiangrou
五香焦肉	wuxiangjiaorou
五香卤排骨	wuxianglupaigu
五元全鸡	wuyuanquanji
无汁葱烧鲤鱼	wuzhicongshaoliyu
西坝豆腐	xibadoufu
西楚贡菜	xichugongcai
西瓜鸡	xiguaji
西瓜童鸡	xiguatongji
西湖莼菜	xihuchuncai
西湖莼菜汤	xihuchuncaitang
西湖醋鱼	xihucuyu
西湖龙井茶	xihulongjingcha
峡阳木樨糕	xiayangmuxigao
虾油鸡	xiayouji
虾子酱油	xiazijiangyou
虾子面筋	xiazimianjin
咸菜大汤黄鱼	xiancaidatanghuangyu
咸蛋蒸肉饼	xiandanzhengroubing
鲜锅兔	xianguotu
咸件儿	xianjianer
鲜椒兔	xianjiaotu
鲜蘑烩鸽蛋	xianmohuigedan
鲜蘑汤泡肚	xianmotangpaodu
咸烧白	xianshaobai
香橙虫草鸭	xiangchengchongcaoya
鲞冻肉	xiangdongrou
香菇板栗	xianggubanli
香菇炖鸡	xianggudunji
香菇盒	xiangguhe
鲞扣鸡	xiangkouji
香辣贝	xianglabei
香辣麻仁鱼条	xianglamarenyutiao
香辣牛肉面	xianglaniuroumian
香辣虾	xianglaxia
香辣蟹	xianglaxie
香麻大排	xiangmadapai
香烹小青虾	xiangpengxiaoqingxia
香桃鹌鹑蛋	xiangtaoanchundan
湘西酸肉	xiangxisuanrou
象眼鸽蛋	xiangyangedan
响油鳝糊	xiangyoushanhu
香芋扣肉	xiangyukourou
小方糕	xiaofanggao
小孩酥	xiaohaisu
小笼馒头	xiaolongmantou
谢家黄凉粉	xiejiahuangliangfen
新风鳗鲞	xinfengmanxiang
新沂捆香蹄	xinyikunxiangti
雄鹰展翅	xiongyingzhanchi
绣球干贝	xiuqiuganbei
徐海菜	xuhaicai
徐州三鲤	xuzhousanli
徐州四孔鲤鱼	xuzhousikongliyu
雪菜大汤黄鱼	xuecaidatanghuangyu
雪花蟹汁	xuehuaxiezhi
雪梨凤翅	xuelifengchi
雪魔芋	xuemoyu
熏鹅	xune
雅安雅鱼全席宴	yaanyayuquanxiyan
鸭包鱼翅	yabaoyuchi
鸭爪草	yazhuacao
盐包蛋	yanbaodan
盐边牛肉	yanbianniurou
盐煎肉	yanjianrou
盐焗鸡	yanjuji
盐烧白	yanshaobai
盐水鸭	yanshuiya
腌鲜鳜鱼	yanxianguiyu
胭脂鹅	yanzhie
阳澄湖大闸蟹	yangchenghudazhaxie
杨梅丸子	yangmeiwanzi
扬州炒饭	yangzhouchaofan
扬州鹅	yangzhoue
叶儿耙	yeerba
野苋菜	yexiancai
宜宾燃面	yibinranmian
一帆风顺	yifanfengshun
一品豆腐	yipindoufu
一品锅	yipinguo
一品海参	yipinhaishen
宜兴的汽锅鸡	yixingdeqiguoji
易牙五味鸡	yiyawuweiji
银芽鲩鱼片	yinyahuanyupian
银鱼炒蛋	yinyuchaodan
银鱼烘蛋	yinyuhongdan
银针鸡汁鱼片	yinzhenjizhiyupian
樱桃肉	yingtaorou
永州血鸭	yongzhouxueya
油爆大虾	youbaodaxia
油淋鸡	youlinji
油淋庄鸡	youlinzhuangji
油焖春笋	youmenchunsun
油焖火焙鱼	youmenhuobeiyu
油焖石鳞	youmenshilin
油焖双冬	youmenshuangdong
鱿鱼炒肉丝	youyuchaorousi
油炸臭豆腐	youzhachoudoufu
油炸金蝉	youzhajinchan
芋儿鸡	yuerji
鱼腹藏羊肉	yufucangyangrou
愈灸鱼	yujiuyu
雨前虾仁	yuqianxiaren
鱼生粥	yushengzhou
鱼丸	yuwan
鱼丸火锅	yuwanhuoguo
鱼香肉丝	yuxiangrousi
鱼汁羊肉	yuzhiyangrou
芋子包	yuzibao
芋子糕	yuzigao
芋子饺	yuzijiao
芫爆鱿鱼卷	yuanbaoyouyujuan
鸳鸯蛋	yuanyangdan
鸳鸯火锅	yuanyanghuoguo
鸳鸯鸡	yuanyangji
鸳鸯鲤	yuanyangli
鸳鸯戏水龙凤汤	yuanyangxishuilongfengtang
原蒸鸡酥丸	yuanzhengjisuwan
鼋汁狗肉	yuanzhigourou
原汁武陵水鱼	yuanzhiwulingshuiyu
越鸡和酒	yuejihejiu
岳阳姜辣蛇	yueyangjianglashe
云母羹	yunmugeng
云片猴头	yunpianhoutou
早红桔酪鸡	zaohongjielaoji
糟溜虾仁	zaoliuxiaren
枣泥拉糕	zaonilagao
枣泥麻饼	zaonimabing
炸豆沙苹果圈	zhadoushapingguoquan
炸鸡球	zhajiqiu
炸满圆	zhamanyuan
炸薯丸	zhashuwan
炸雪薯	zhaxueshu
炸脂盖	zhazhigai
炸子鸡	zhaziji
樟茶鸭	zhangchaya
樟茶鸭子	zhangchayazi
镇江的水晶肴蹄	zhenjiangdeshuijingyaoti
郑抄手	zhengchaoshou
蒸满圆	zhengmanyuan
纸包鸡	zhibaoji
稚羹	zhigeng
中和汤	zhonghetang
钟水饺	zhongshuijiao
众星捧月	zhongxingpengyue
舟山的梭子蟹	zhoushandesuozixie
舟山黄鱼	zhoushanhuangyu
猪儿粑	zhuerba
竹海名菜	zhuhaimingcai
朱氏杂酱	zhushizajiang
苎叶饧	zhuyetang
猪油年糕	zhuyouniangao
子龙脱袍	zilongtuopao
姊妹团子	zimeituanzi
走油豆豉扣肉	zouyoudouchikourou
组庵鱼翅	zuanyuchi
祖庵玉结鱼翅	zuanyujieyuchi
醉排骨	zuipaigu
醉腰丝	zuiyaosi
醉鱼干	zuiyugan
醉糟鸡	zuizaoji
左宗棠鸡	zuozongtangji
艾窝窝	aiwowo
熬乳茶	aorucha
八宝兔丁	babaotuding
八宝野鸭	babaoyeya
扒鱼肚卷	bayudujuan
白扒广肚	baibaguangdu
白扒鱼唇	baibayuchun
百花鸭舌	baihuayashe
百寿桃	baishoutao
爆炒田鸡	baochaotianji
爆炒鱿鱼	baochaoyouyu
北京辣菜	beijinglacai
鞭蓉糕	bianronggao
冰糖核桃	bingtanghetao
饽饽二品	boboerpin
饽饽四品	bobosipin
菠萝软糖	boluoruantang
草菇西兰花	caoguxilanhua
茶食刀切	chashidaoqie
茶台茗叙	chataimingxu
长春卷	changchunjuan
长春鹿鞭汤	changchunlubiantang
长寿龙须面	changshoulongxumian
炒墨鱼丝	chaomoyusi
炒时蔬	chaoshishu
炒珍珠鸡	chaozhenzhuji
陈皮牛肉	chenpiniurou
陈皮兔肉	chenpiturou
持炉烤鸭	chilukaoya
持炉珍珠鸡	chiluzhenzhuji
重阳花糕	chongyanghuagao
串炸鲜贝	chuanzhaxianbei
川汁鸭掌	chuanzhiyazhang
刺龙牙	cilongya
刺五加	ciwujia
慈禧小窝头	cixixiaowotou
葱爆牛柳	congbaoniuliu
葱段	congduan
葱烧鲨鱼皮	congshaoshayupi
攒盒一品	cuanheyipin
