阿保之劳	abaozhilao
拔山盖世	bashangaishi
拔山扛鼎	bashangangding|bashankangding
拔山杠鼎	bashangangding
拔山举鼎	bashanjuding
跋山涉川	bashanshechuan
跋山涉水	bashansheshui
巴山蜀水	bashanshushui
巴山夜雨	bashanyeyu
巴山越岭	bashanyueling
跋涉长途	bashechangtu
跋涉山川	basheshanchuan
巴蛇吞象	bashetunxiang
拔十得五	bashidewu
拔十失五	bashishiwu
拔树撼山	bashuhanshan
拔树搜根	bashusougen
拔树寻根	bashuxungen
把素持斋	basuchizhai
八抬八簇	bataibacu
霸天之力	batianzhili
巴头探脑	batoutannao
把玩不厌	bawanbuyan
八万四千	bawansiqian
把玩无厌	bawanwuyan
霸王别姬	bawangbieji
霸王风月	bawangfengyue
拔犀擢象	baxizhuoxiang
拔辖投井	baxiatoujing
八仙过海	baxianguohai
拔新领异	baxinlingyi
把薪助火	baxinzhuhuo
八音迭奏	bayindiezou
八音遏密	bayinemi
拔宅飞升	bazhaifeisheng
拔宅上升	bazhaishangsheng
拔赵易汉	bazhaoyihan
八珍玉食	bazhenyushi
拔帜树帜	bazhishuzhi
拔帜易帜	bazhiyizhi
霸主套装	bazhutaozhuang
八子七婿	baziqixu
摆八挂阵	baibaguazhen
百败不折	baibaibuzhe
白白朱朱	baibaizhuzhu
百般刁难	baibandiaonan
百般奉承	baibanfengcheng
百般抚慰	baibanfuwei
白斑黑豹	baibanheibao
白板天子	baibantianzi
百般责难	baibanzenan
百般折磨	baibanzhemo
百宝万货	baibaowanhuo
败笔成丘	baibichengqiu
百弊丛生	baibicongsheng
白壁青蝇	baibiqingying
白璧青蝇	baibiqingying
白璧三献	baibisanxian
败壁颓垣	baibituiyuan
白璧微瑕	baibiweixia
白璧无瑕	baibiwuxia
百病丛生	baibingcongsheng
百病回春	baibinghuichun
败兵折将	baibingzhejiang
百步穿杨	baibuchuanyang
百不存一	baibucunyi
百不当一	baibudangyi
百不得一	baibudeyi
败部复活	baibufuhuo
百不获一	baibuhuoyi
百不失一	baibushiyi
百不随一	baibusuiyi
败不旋踵	baibuxuanzhong
百不一存	baibuyicun
百不一贷	baibuyidai
百不一见	baibuyijian
百不一失	baibuyishi
百不一爽	baibuyishuang
百不一遇	baibuyiyu
败材伤锦	baicaishangjin
白草黄沙	baicaohuangsha
白草黄云	baicaohuangyun
败常乱俗	baichangluansu
百城之富	baichengzhifu
百尺竿头	baichigantou
白齿青眉	baichiqingmei
百尺无枝	baichiwuzhi
百川朝海	baichuanchaohai
百川赴海	baichuanfuhai
