阿鼻	abi
巴珠仁波且	bazhurenboqie
八转声	bazhuansheng
八字文殊菩萨	baziwenshupusa
八宗	bazong
八宗纲要	bazonggangyao
八祖佛陀密多尊者	bazufotuomiduozunzhe
八祖佛陀难提尊者	bazufotuonantizunzhe
八祖左溪尊者玄朗	bazuzuoxizunzhexuanlang
白庵金禅师	baianjinchanshi
百八烦恼	baibafannao
百八结业	baibajieye
百八三昧	baibasanmei
百八塔	baibata
百八钟	baibazhong
拜忏	baichan
白度母咒	baidumuzhou
白法	baifa
百法	baifa
白法黑法	baifaheifa
百法明门	baifamingmen
百法明门论	baifamingmenlun
白法天尊	baifatianzun
拜佛	baifo
百福庄严	baifuzhuangyan
百光遍照王	baiguangbianzhaowang
白国因由	baiguoyinyou
白毫光	baihaoguang
白毫宛转五须弥	baihaowanzhuanwuxumi
百济观音	baijiguanyin
百劫	baijie
百界	baijie
百界千如	baijieqianru
白居易	baijuyi
白居易居士	baijuyijushi
百苦	baiku
白莲花传	bailianhuachuan
白莲社	bailianshe
白莲宗	bailianzong
百灵庙	bailingmiao
白龙	bailong
白龙城	bailongcheng
百论疏	bailunshu
白玛邓登	baimadengdeng
白马寺	baimasi
百衲衣	bainayi
百年三万六千日	bainiansanwanliuqianri
百千万倍	baiqianwanbei
百千万劫	baiqianwanjie
百千万劫难遭遇	baiqianwanjienanzaoyu
白伞盖佛顶	baisangaifoding
白色白光	baisebaiguang
白少傅	baishaofu
白圣	baisheng
白圣法师	baishengfashi
百颂诗集	baisongshiji
白塔寺	baitasi
百塔寺	baitasi
白檀	baitan
柏万安之母曹氏	baiwananzhimucaoshi
百万塔陀罗尼	baiwantatuoluoni
百味具足	baiweijuzu
百味饮食	baiweiyinshi
白文殊咒	baiwenshuzhou
百屋禅师清珙	baiwuchanshiqinggong
白夏瓦	baixiawa
白崖宝生	baiyabaosheng
白崖山无住禅师	baiyashanwuzhuchanshi
柏岩禅师	baiyanchanshi
白杨法顺禅师	baiyangfashunchanshi
白杨顺禅师	baiyangshunchanshi
白羊寺	baiyangsi
白业	baiye
百业经	baiyejing
百一供身	baiyigongshen
白衣观音	baiyiguanyin
白衣观音灵感真言	baiyiguanyinlingganzhenyan
百一物	baiyiwu
百一众具	baiyizhongju
白隐禅师	baiyinchanshi
白隐慧鹤	baiyinhuihe
百喻经	baiyujing
白云禅师智度	baiyunchanshizhidu
白云度公	baiyundugong
白云端禅师	baiyunduanchanshi
白云高飞丹顶鹤	baiyungaofeidandinghe
白云慧晓	baiyunhuixiao
白云寂照明首座	baiyunjizhaomingshouzuo
白云孔清觉	baiyunkongqingjue
白云绕山鸟自飞	baiyunraoshanniaozifei
白云守端禅师	baiyunshouduanchanshi
白云子祥	baiyunzixiang
白云宗	baiyunzong
百丈	baizhang
百丈丛林清规	baizhangconglinqinggui
百丈道恒	baizhangdaoheng
百丈海禅师	baizhanghaichanshi
百丈怀海禅师	baizhanghuaihaichanshi
百丈清规证义记	baizhangqingguizhengyiji
百丈山	baizhangshan
百丈山怀海禅师	baizhangshanhuaihaichanshi
百丈野狐	baizhangyehu
百丈野鸭子	baizhangyeyazi
百丈珍禅师	baizhangzhenchanshi
百丈政	baizhangzheng
百转千回何人解	baizhuanqianhuiherenjie
百字论	baizilun
百字明	baiziming
百字明修法	baizimingxiufa
班德巴	bandeba
般闍罗国	banduluoguo
半跏思惟像	banjiasiweixiang
般苦三昧	bankusanmei
班玛瓜唐	banmaguatang
班玛旺嘉	banmawangjia
半满真言参不漏	banmanzhenyancanbulou
般涅槃	banniepan
般涅槃那	banniepanna
板皮房	banpifang
班钦索南札巴	banqinsuonanzhaba
班台斯利	bantaisili
半托迦	bantuojia
半择迦	banzejia
班札	banzha
半斋	banzhai
般舟三昧	banzhousanmei
半字满字	banzimanzi
谤法	bangfa
谤法阐提	bangfachanti
傍佛	bangfo
谤佛谤法	bangfobangfa
谤密	bangmi
谤三宝戒	bangsanbaojie
谤僧	bangseng
傍生	bangsheng
傍生道	bangshengdao
傍生趣	bangshengqu
保安寺	baoansi
报本元禅师	baobenyuanchanshi
保参玉泉	baocanyuquan
宝唱	baochang
宝车	baoche
宝称	baocheng
宝称律师	baochenglvshi
宝池观	baochiguan
报慈	baoci
报得	baode
宝地	baodi
保定博野护国寺	baodingboyehuguosi
保定阜平县嘉绒观音寺	baodingfupingxianjiarongguanyinsi
保定市安国兴国寺	baodingshianguoxingguosi
宝鼎赞	baodingzan
报恩	baoen
报恩禅寺	baoenchansi
报恩寺	baoensi
报恩田	baoentian
报恩新	baoenxin
宝峰阐提照禅师	baofengchantizhaochanshi
宝峰清禅师	baofengqingchanshi
宝峰祥禅师	baofengxiangchanshi
宝峰英禅师	baofengyingchanshi
宝峰湛堂准禅师	baofengzhantangzhunchanshi
宝峰准禅师	baofengzhunchanshi
报佛	baofo
保福	baofu
报父母恩咒	baofumuenzhou
保恭	baogong
宝公	baogong
宝公大士	baogongdashi
宝公慧洪	baogonghuihong
宝光寺	baoguangsi
保国寺	baoguosi
报国寺	baoguosi
宝积	baoji
宝积禅师	baojichanshi
宝鸡寿奉寺	baojishoufengsi
宝金禅师	baojinchanshi
宝镜三昧	baojingsanmei
宝卷	baojuan
宝觉禅寺	baojuechansi
宝觉道法师	baojuedaofashi
宝觉寺	baojuesi
宝莲禅寺	baolianchansi
宝亮	baoliang
宝亮法师	baoliangfashi
宝林迦陵	baolinjialing
宝楼观	baolouguan
宝轮寺	baolunsi
宝鬘	baoman
宝鬘论	baomanlun
保宁玑禅师	baoningjichanshi
保宁玑道	baoningjidao
保宁寺	baoningsi
宝女所问经	baonvsuowenjing
宝箧印陀罗尼	baoqieyintuoluoni
宝庆记	baoqingji
宝庆寂圆	baoqingjiyuan
宝琼	baoqiong
宝儒	baoru
宝山浮玉	baoshanfuyu
宝山石窟	baoshanshiku
报身	baoshen
报生	baosheng
宝生佛	baoshengfo
宝胜如来	baoshengrulai
报生三昧	baoshengsanmei
保圣寺	baoshengsi
宝饰天衣	baoshitianyi
宝寿	baoshou
宝树观	baoshuguan
宝思惟	baosiwei
报通	baotong
宝通禅师	baotongchanshi
宝通禅寺	baotongchansi
报土	baotu
宝彖	baotuan
宝王	baowang
宝王三昧	baowangsanmei
宝王三昧念佛直指	baowangsanmeinianfozhizhi
宝袭	baoxi
宝宪	baoxian
保贤法师	baoxianfashi
宝相	baoxiang
宝相佛	baoxiangfo
宝性	baoxing
宝性论	baoxinglun
鲍性泉	baoxingquan
宝行王正论	baoxingwangzhenglun
宝岩	baoyan
宝一老人行实	baoyilaorenhangshi|baoyilaorenxingshi
宝印	baoyin
报因	baoyin
宝印禅师	baoyinchanshi
宝印法师	baoyinfashi
宝应寺	baoyingsi
抱玉	baoyu
宝雨经	baoyujing
宝渊	baoyuan
宝云	baoyun
宝藏禅师	baozangchanshi
宝藏论	baozanglun
报障	baozhang
保志	baozhi
宝志	baozhi
宝志大士	baozhidashi
宝志公禅师	baozhigongchanshi
宝洲沙门觉岸	baozhoushamenjuean
宝作寂	baozuoji
北碚天台禅院	beibeitiantaichanyuan
背柴走江湖	beichaizoujianghu
北禅贤禅师	beichanxianchanshi
北朝佛教	beichaofojiao
北传佛教	beichuanfojiao
北达国	beidaguo
北斗法	beidoufa
杯度	beidu
杯渡	beidu
杯度比丘	beidubiqiu
杯渡尊者	beiduzunzhe
北方世界	beifangshijie
悲华经	beihuajing
北极思量心无边	beijisiliangxinwubian
被甲护身	pijiahushen|beijiahushen
北涧简禅师	beijianjianchanshi
北涧居简禅师	beijianjujianchanshi
北涧居简禅师语录	beijianjujianchanshiyulu
北京律	beijinglv
北俱卢洲	beijuluzhou
北拘卢洲	beijuluzhou
北凉三藏昙无谶	beiliangsanzangtanwuchen
悲门	beimen
悲悯心	beiminxin
卑摩罗叉	beimoluocha
背念	beinian
贝诺法王二世	beinuofawangershi
贝诺法王三世	beinuofawangsanshi
贝诺法王一世	beinuofawangyishi
北齐道凭	beiqidaoping
北齐慧光	beiqihuiguang
北山禅寺	beishanchansi
北山录	beishanlu
北山住部	beishanzhubu
背舍	beishe
杯水禅机	beishuichanji
北寺塔	beisita
悲田	beitian
悲田坊	beitianfang
北条时赖	beitiaoshilai
北条时宗	beitiaoshizong
悲无量心	beiwuliangxin
悲心	beixin
贝叶	beiye
贝叶经	beiyejing
贝叶式	beiyeshi
悲愿金刚	beiyuanjingang
悲增	beizeng
悲智	beizhi
悲智圆满	beizhiyuanman
北周慧命	beizhouhuiming
北周静蔼	beizhoujingai
贝子庙	beizimiao
北宗神秀禅师	beizongshenxiuchanshi
本朝高僧传	benchaogaosengchuan
本初佛	benchufo
本道法师	bendaofashi
本地垂迹	bendichuiji
本地身	bendishen
本对传法人	benduichuanfaren
奔公甲	bengongjia
本光法师	benguangfashi
本化	benhua
本化别头佛祖统纪	benhuabietoufozutongji
本焕法师	benhuanfashi
本慧法师	benhuifashi
本惑	benhuo
本际	benji
本济	benji
本寂禅师	benjichanshi
本迹二门	benjiermen
本际法师	benjifashi
本寂法师	benjifashi
本寂三	benjisan
本教	benjiao
本净	benjing
本净禅师	benjingchanshi
本觉	benjue
本觉真如	benjuezhenru
本觉智	benjuezhi
本空	benkong
本空非有	benkongfeiyou
本空照禅师	benkongzhaochanshi
本来付有法	benlaifuyoufa
本来是佛	benlaishifo
本来无一物	benlaiwuyiwu
本来无有种	benlaiwuyouzhong
本来缘有地	benlaiyuanyoudi
本门佛立宗	benmenfolizong
本门寺	benmensi
本门宗	benmenzong
本明	benming
本那满答尼补答	bennamandanibuda
本能寺	bennengsi
本仁	benren
本如	benru
本生鬘	benshengman
本生注	benshengzhu
本誓	benshi
本识	benshi
本师	benshi
本师释迦牟尼佛	benshishijiamounifo
本颂	bensong
本体	benti
本田义英	bentianyiying
本位	benwei
本未有善	benweiyoushan
本无	benwu
本无法师	benwufashi
本先禅师	benxianchanshi
本心	benxin
本心非有法	benxinfeiyoufa
本逸禅师	benyichanshi
本有家	benyoujia
本圆	benyuan
本愿	benyuan
本圆法师	benyuanfashi
本愿寺	benyuansi
本尊	benzun
本尊法	benzunfa
本尊海会	benzunhaihui
彼岸	bian
彼岸会	bianhui
毕钵罗窟	biboluoku
毕钵罗树	biboluoshu
必才	bicai
必才法师	bicaifashi
苾刍	bichu
苾刍律仪	bichulvyi
苾刍尼	bichuni
璧峰禅师宝金	bifengchanshibaojin
璧峰金禅师	bifengjinchanshi
笔峰寺	bifengsi
彼佛光明无量	bifoguangmingwuliang
彼佛国土	bifoguotu
彼佛国土无三恶道	bifoguotuwusanedao
彼佛何故号阿弥陀	bifoheguhaoamituo
彼佛寿命	bifoshouming
鼻根	bigen
闭关	biguan
毕竟觉	bijingjue
毕竟空	bijingkong
毕竟无	bijingwu
毕竟依	bijingyi
毕俊辉居士	bijunhuijushi
比库尼	bikuni
必兰纳识理	bilannashili
庇立得法会	bilidefahui
比量	biliang
比量相违过	biliangxiangweiguo
毕陵达瓦差	bilingdawacha
毕鲁巴	biluba
闭门婆	bimenpo
比丘	biqiu
比丘戒	biqiujie
比丘尼	biqiuni
比丘尼传	biqiunichuan
比丘尼戒	biqiunijie
逼人诉说	birensushuo
鼻入	biru
比叡山	biruishan
鼻识	bishi
碧水微澜连九天	bishuiweilanlianjiutian
彼土何故名为极乐	bituhegumingweijile
毕夏拿	bixiana
碧岩录	biyanlu
必有不尽意	biyoubujinyi
碧云寺	biyunsi
彼者善人何不依	bizheshanrenhebuyi
毕紫岚	bizilan
辩才	biancai
辩才法师	biancaifashi
辩才妙音	biancaimiaoyin
辩才天	biancaitian
辨长	bianchang
边地	biandi
辨法法性论	bianfafaxinglun
辩法法性论	bianfafaxinglun
遍法界身	bianfajieshen
遍覆三千大千世界	bianfusanqiandaqianshijie
遍告十方	biangaoshifang
辩光	bianguang
变化法身	bianhuafashen
变化生	bianhuasheng
变化土	bianhuatu
辩寂	bianji
遍计	bianji
遍计所执性	bianjisuozhixing
边际智	bianjizhi
边见	bianjian
边界	bianjie
遍净天	bianjingtian
遍礼	bianli
遍能法师	biannengfashi
辨融禅师	bianrongchanshi
遍融师	bianrongshi
变食	bianshi
便是非修行	bianshifeixiuxing
遍是宗法性	bianshizongfaxing
辩伪录	bianweilu
变文	bianwen
辩无碍解	bianwuaijie
辨显密二教论	bianxianmierjiaolun
辩显密二教论	bianxianmierjiaolun
辩相	bianxiang
变相图	bianxiangtu
遍行	bianxing
遍行惑	bianxinghuo
遍行因	bianxingyin
遍行真如	bianxingzhenru
辩秀	bianxiu
辩义	bianyi
变易	bianyi
变易而熟	bianyiershu
遍一切处	bianyiqiechu
变易身	bianyishen
变易生死	bianyishengsi
遍依圆	bianyiyuan
遍依圆三性	bianyiyuansanxing
遍照	bianzhao
遍照红尘三大千	bianzhaohongchensandaqian
遍照金刚	bianzhaojingang
遍照如来	bianzhaorulai
辩正论	bianzhenglun
遍智	bianzhi
边执见	bianzhijian
便知你我本来同	bianzhiniwobenlaitong
辩中边论	bianzhongbianlun
遍周法界	bianzhoufajie
边罪	bianzui
表戒	biaojie
表诠	biaoquan
表无表	biaowubiao
表无表戒	biaowubiaojie
表相	biaoxiang
表业	biaoye
标语纲要	biaoyugangyao
表制集	biaozhiji
表自	biaozi
别蚌寺	biebangsi
别报	biebao
别别相	biebiexiang
别法	biefa
别峰禅师大同	biefengchanshidatong
别峰大殊	biefengdashu
别峰印禅师	biefengyinchanshi
别教	biejiao
别教一乘	biejiaoyicheng
别戒	biejie
别解脱	biejietuo
别解脱戒	biejietuojie
别解脱律仪	biejietuolvyi
别境	biejing
别理随缘	bielisuiyuan
