甘肃农业职业技术学院	gansunongyezhiyejishuxueyuan
甘肃畜牧工程职业技术学院	gansuxumugongchengzhiyejishuxueyuan
甘肃中医学院	gansuzhongyixueyuan
赣西科技职业学院	ganxikejizhiyexueyuan
工程兵学院	gongchengbingxueyuan
广安职业技术学院	guanganzhiyejishuxueyuan
广东白云学院	guangdongbaiyunxueyuan
广东工程职业技术学院	guangdonggongchengzhiyejishuxueyuan
广东工贸职业技术学院	guangdonggongmaozhiyejishuxueyuan
广东工业大学	guangdonggongyedaxue
广东海洋大学	guangdonghaiyangdaxue
广东建设职业技术学院	guangdongjianshezhiyejishuxueyuan
广东交通职业技术学院	guangdongjiaotongzhiyejishuxueyuan
广东金融学院	guangdongjinrongxueyuan
广东警官学院	guangdongjingguanxueyuan
广东科贸职业学院	guangdongkemaozhiyexueyuan
广东理工职业学院	guangdongligongzhiyexueyuan
广东女子职业技术学院	guangdongnvzizhiyejishuxueyuan
广东培正学院	guangdongpeizhengxueyuan
广东轻工职业技术学院	guangdongqinggongzhiyejishuxueyuan
广东商学院	guangdongshangxueyuan
广东食品药品职业学院	guangdongshipinyaopinzhiyexueyuan
广东水利电力职业技术学院	guangdongshuilidianlizhiyejishuxueyuan
广东司法警官职业学院	guangdongsifajingguanzhiyexueyuan
广东体育职业技术学院	guangdongtiyuzhiyejishuxueyuan
广东外语外贸大学	guangdongwaiyuwaimaodaxue
广东文艺职业学院	guangdongwenyizhiyexueyuan
广东新安职业技术学院	guangdongxinanzhiyejishuxueyuan
广东行政职业学院	guangdongxingzhengzhiyexueyuan
广东亚视演艺职业学院	guangdongyashiyanyizhiyexueyuan
广东药学院	guangdongyaoxueyuan
广东医学院	guangdongyixueyuan
广东邮电职业技术学院	guangdongyoudianzhiyejishuxueyuan
广西财经学院	guangxicaijingxueyuan
广西大学	guangxidaxue
广西电力职业技术学院	guangxidianlizhiyejishuxueyuan
广西工商职业技术学院	guangxigongshangzhiyejishuxueyuan
广西工业职业技术学院	guangxigongyezhiyejishuxueyuan
广西国际商务职业技术学院	guangxiguojishangwuzhiyejishuxueyuan
广西机电职业技术学院	guangxijidianzhiyejishuxueyuan
广西建设职业技术学院	guangxijianshezhiyejishuxueyuan
广西交通职业技术学院	guangxijiaotongzhiyejishuxueyuan
广西经贸职业技术学院	guangxijingmaozhiyejishuxueyuan
广西民族大学	guangximinzudaxue
广西生态工程职业技术学院	guangxishengtaigongchengzhiyejishuxueyuan
广西师范大学	guangxishifandaxue
