东山高卧	dongshangaowo
董宣强项	dongxuanqiangxiang
范蠡归湖	fanliguihu
逢萌挂冠	fengmengguaguan
高祖还乡	gaozuhuanxiang
挂甲朝天	guajiachaotian
归去来兮	guiqulaixi
韩寿偷香	hanshoutouxiang
韩信乞食	hanxinqishi
郝廉留钱	haolianliuqian
何郎傅粉	helangfufen
坏尽风光	huaijinfengguang
火烧袄庙	huoshaoaomiao
火烧纪信	huoshaojixin
货郎末泥	huolangmoni
霍光鬼谏	huoguangguijian
蒋神灵应	jiangshenlingying
金钗剪烛	jinchaijianzhu
坑儒焚典	kengrufendian
李逵负荆	likuifujing
陵母伏剑	lingmufujian
刘泉进瓜	liuquanjingua
柳毅传书	liuyichuanshu
陆绩怀橘	lujihuaiju
麻地捧印	madipengyin
明达卖子	mingdamaizi
念奴教乐	niannujiaole
七步成章	qibuchengzhang
秋胡戏妻	qiuhuxiqi
水淹蓝桥	shuiyanlanqiao
岁寒三友	suihansanyou
踏雪寻梅	taxuexunmei
铁拐李岳	tieguailiyue
王祥卧冰	wangxiangwobing
伍员吹箫	wuyuanchuixiao
武松打虎	wusongdahu
武王伐纣	wuwangfazhou
误入桃源	wurutaoyuan
西天取经	xitianqujing
燕青博鱼	yanqingboyu
燕青射雁	yanqingsheyan
圯桥进履	yiqiaojinlv
遗留文书	yiliuwenshu
于公高门	yugonggaomen
鱼雁传情	yuyanchuanqing
豫让吞炭	yurangtuntan
越娘背灯	yueniangbeideng
摘椹养母	zhaishenyangmu
占断风光	zhanduanfengguang
张良辞朝	zhangliangcichao
张生煮海	zhangshengzhuhai
昭君出塞	zhaojunchusai
赵氏孤儿	zhaoshiguer
诸葛祭风	zhugejifeng
诸葛论功	zhugelungong
竹坞听琴	zhuwutingqin
抱子摄朝	baozishechao
比干剖腹	biganpoufu
博望烧屯	bowangshaotun
蔡琰还朝	caiyanhaichao
曹娥泣江	caoeqijiang
陈州粜米	chenzhoutiaomi
东窗事犯	dongchuangshifan
杜甫游春	dufuyouchun
范张鸡黍	fanzhangjishu
负亲沉子	fuqinchenzi
管鲍分金	guanbaofenjin
郭兴何杨	guoxingheyang
合同文字	hetongwenzi
欢喜冤家	huanxiyuanjia
汲黯开仓	jiankaicang
剪发待宾	jianfadaibin
姜肱共被	jianggonggongbei
金篦刺目	jinbicimu
锦堂风月	jintangfengyue
荆公遣妾	jinggongqianqie
荆娘盗果	jingniangdaoguo
敬德扑马	jingdepuma
举案齐眉	juanqimei
开仓籴米	kaicangdimi
乐昌分镜	lechangfenjing
梨园乐府	liyuanyuefu
两世姻缘	liangshiyinyuan
孟宗哭竹	mengzongkuzhu
糜竺收资	mizhushouzi
千里投人	qianlitouren
倩女离魂	qiannvlihun
屈原投江	quyuantoujiang
三战吕布	sanzhanlvbu
杀狗劝夫	shagouquanfu
私下三关	sixiasanguan
宋弘不谐	songhongbuxie
苏武还乡	suwuhuanxiang
田单复齐	tiandanfuqi
托妻寄子	tuoqijizi
王粲登楼	wangcandenglou
为富不仁	weifuburen
乌林皓月	wulinhaoyue
无盐破环	wuyanpohuan
误入长安	wuruchangan
杨震辞金	yangzhencijin
伊尹扶汤	yiyinfutang
袁盎却坐	yuanangquezuo
月夜闻筝	yueyewenzheng
越王尝胆	yuewangchangdan
诈游云梦	zhayouyunmeng
赵礼让肥	zhaolirangfei
指鹿道马	zhiludaoma
周公摄政	zhougongshezheng
竹叶传情	zhuyechuanqing
子房货剑	zifanghuojian
八仙过海	baxianguohai
拔宅飞升	bazhaifeisheng
才子留情	caiziliuqing
彩扇题诗	caishantishi
蔡顺分椹	caishunfenshen
存孝打虎	cunxiaodahu
大破蚩尤	dapochiyou
大战邳彤	dazhanpitong
单战吕布	danzhanlvbu
东篱赏菊	donglishangju
洞玄升仙	dongxuanshengxian
伐晋兴齐	fajinxingqi
飞刀对箭	feidaoduijian
隔江斗智	gejiangdouzhi
化胡成佛	huahuchengfo
继母大贤	jimudaxian
佳人写恨	jiarenxiehen
九世同居	jiushitongju
开诏救忠	kaizhaojiuzhong
乐毅图齐	yueyituqi
临潼斗宝	lintongdoubao
刘弘嫁婢	liuhongjiabi
龙门隐秀	longmenyinxiu
螺蛳末尼	luosimoni
孟母三移	mengmusanyi
磨刀劝妇	modaoquanfu
目连救母	mulianjiumu
南极登仙	nanjidengxian
怒斩关平	nuzhanguanping
庞掠四郡	pangluesijun
贫富兴衰	pinfuxingshuai
齐天大圣	qitiandasheng
千里独行	qianliduxing
庆赏端阳	qingshangduanyang
三出小沛	sanchuxiaopei
三化邯郸	sanhuahandan
双林坐化	shuanglinzuohua
水里报冤	shuilibaoyuan
四马投唐	simatoutang
四圣归天	sishengguitian
桃园结义	taoyuanjieyi
渭塘奇遇	weitangqiyu
魏徵改诏	weizhenggaizhao
吴起敌秦	wuqidiqin
五马破曹	wumapocao
心猿意马	xinyuanyima
兴兵完楚	xingbingwanchu
薛苞认母	xuebaorenmu
雪里报冤	xuelibaoyuan
杨香跨虎	yangxiangkuahu
野猿听经	yeyuantingjing
衣锦还乡	yijinhuanxiang|yijinhaixiang
阴山破虏	yinshanpolu
永不分别	yongbufenbie
袁觉拖笆	yuanjuetuoba
岳飞精忠	yuefeijingzhong
赵宗让肥	zhaozongrangfei
风月七真堂	fengyueqizhentang
窄袖儿武松	zhaixiuerwusong
夜月瑶琴怨	yeyueyaoqinyuan
月夜紫鸾箫	yueyeziluanxiao
张鼎勘头巾	zhangdingkantoujin
张华三撇嵌	zhanghuasanpieqian
醉写满庭芳	zuixiemantingfang
搬运太湖石	banyuntaihushi
鞭打单雄信	biandashanxiongxin
曹彬下江南	caobinxiajiangnan
策立阴皇后	celiyinhuanghou
捶碎黄鹤楼	chuisuihuanghelou
单刀劈四寇	dandaopisikou
刀劈史鸦霞	daopishiyaxia
风雪包待制	fengxuebaodaizhi
郭桓盗官粮	guohuandaoguanliang
活拿萧天佑	huonaxiaotianyou
火烧阿房宫	huoshaoepanggong
九宫八卦阵	jiugongbaguazhen
柳成错背妻	liuchengcuobeiqi
卢仝七碗茶	lutongqiwancha
秋夜云窗梦	qiuyeyunchuangmeng
仁义礼智信	renyilizhixin
任千四颗头	renqiansiketou
十咏水仙子	shiyongshuixianzi
陶侃拿苏峻	taokannasujun
夜月京娘墓	yeyuejingniangmu
智降秦叔宝	zhijiangqinshubao
智赚鬼擘口	zhizhuanguibokou
卓文君驾车	zhuowenjunjiache
