安重荣	anzhongrong
高季兴	gaojixing
高骈	gaopian
姑臧	guzang
河洛	heluo
后汉	houhan
后周	houzhou
后主	houzhu
李煜	liyu
大秦	daqin
荆南	jingnan
邕州	yongzhou
李从厚	liconghou
李克	like
两川	liangchuan
两晋	liangjin
刘承佑	liuchengyou
刘崇	liuchong
刘岩	liuyan
卢龙	lulong
吕光复	lvguangfu
罗绍威	luoshaowei
孟昶	mengchang
孟知祥	mengzhixiang
慕容部	murongbu
南迁	nanqian
南匈奴	nanxiongnu
前凉	qianliang
前蜀	qianshu
羌族	qiangzu
秦彦	qinyan
盛唐	shengtang
世宗	shizong
宋兵	songbing
宋太祖	songtaizu
拓拔	tuoba
王潮	wangchao
王敬武	wangjingwu
王衍	wangyan
王章	wangzhang
吴王	wuwang
五凉	wuliang
武都	wudu
西戎	xirong
西蜀	xishu
徐知诰	xuzhigao
燕国	yanguo
杨溥	yangpu
耶律阿保机	yelvabaoji
邺城	yecheng
隐帝	yindi
影响下	yingxiangxia
赵匡胤	zhaokuangyin
赵王	zhaowang
浙东	zhedong
浙西	zhexi
珍玩	zhenwan
租庸使	zuyongshi
麦禾	maihe
流徙	liuxi
农桑	nongsang
耕作	gengzuo
万户	wanhu
石国	shiguo
祆教	xianjiao
王康	wangkang
徐邈	xumiao
高梁	gaoliang
晋书	jinshu
寿春	shouchun
陈午	chenwu
河朔	heshuo
梁元帝	liangyuandi
高氏	gaoshi
杨坚	yangjian
大族	dazu
宋少帝	songshaodi
刘劭	liushao
小帅	xiaoshuai
赵魏	zhaowei
系囚	xiqiu
山泽	shanze
亡命	wangming
新蔡	xincai
苟晞	gouxi
柴世宗	chaishizong
唐僖宗	tangxizong
逆旅	nilv
柴氏	chaishi
在位	zaiwei
表字	biaozi
文仲	wenzhong
军吏	junli
汴京	bianjing
监国	jianguo
国号	guohao
定都	dingdu
广顺	guangshun
漠北	mobei
建都	jiandu
南陈	nanchen
汉高帝	hangaodi
文宣帝	wenxuandi
高殷	gaoyin
高演	gaoyan
高湛	gaozhan
高纬	gaowei
高恒	gaoheng
文王	wenwang
文皇帝	wenhuangdi
葛荣	gerong
贺拔岳	hebayue
万俟丑奴	moqichounu
东进	dongjin
大将军	dajiangjun
字叔达	zishuda
萧何	xiaohe
族弟	zudi
卫尉	weiwei
梁朝	liangchao
为父	weifu
齐国	qiguo
东昏侯	donghunhou
陈武帝	chenwudi
陈霸先	chenbaxian
王僧辩	wangsengbian
萧方智	xiaofangzhi
萧察	xiaocha
西梁	xiliang
阿斗泥	adouni
安德公主	andegongzhu
安德王	andewang
安定靖王拓跋休	andingjingwangtuobaxiu
安定殇王拓跋弥	andingshangwangtuobami
安丰匡王拓跋猛	anfengkuangwangtuobameng
安乐公主	anlegongzhu
安乐厉王拓跋长乐	anleliwangtuobachangle
跋洛侯	baluohou
百保鲜卑	baibaoxianbei
柏谷坞	baiguwu
保定	baoding
北海平王元祥	beihaipingwangyuanxiang
北乡长公主	beixiangzhanggongzhu
薄居罗	bojuluo
博陵公主	bolinggongzhu
步六孤氏	buliugushi
步落稽	buluoji
蔡佑蔡祐	caiyoucaiyou
常悲	changbei
长恭	changgong
昌乐大长公主	changledazhanggongzhu
长乐公主元瑛	changlegongzhuyuanying
长乐王拓跋处文	changlewangtuobachuwen
常善	changshan
常山公主	changshangongzhu
陈蒨	chenqian
陈善藏	chenshancang
陈叔宝	chenshubao
陈忻	chenxin
陈顼	chenxu
陈元康	chenyuankang
陈月仪	chenyueyi
承光	chengguang
城阳康王拓跋长寿	chengyangkangwangtuobachangshou
叱利氏	chilishi
叱列伏龟	chiliefugui
叱罗协	chiluoxie
楚王拓跋建	chuwangtuobajian
崔昂	cuiang
崔伯谦	cuiboqian
崔达拏	cuidana
崔弘度	cuihongdu
崔季舒	cuijishu
崔谦	cuiqian
崔说	cuishuo
崔腾	cuiteng
崔暹	cuixian
崔彦穆	cuiyanmu
崔猷	cuiyou
崔瞻	cuizhan
崔仲方	cuizhongfang
达步干氏	dabuganshi
大成	dacheng
大定	dading
大尔朱	daerzhu
大后丞	dahoucheng
大利稽氏	dalijishi
大宁	daning
大前疑	daqianyi
达奚惎	daxiji
达奚实	daxishi
达奚武	daxiwu
达奚震	daxizhen
大野氏	dayeshi
大右弼	dayoubi
大左辅	dazuofu
道武帝拓跋珪	daowudituobagui
弟荣先	dirongxian
第一领民酋长	diyilingminqiuzhang
东柏堂	dongbaitang
东平王拓跋翰	dongpingwangtuobahan
董绍	dongshao
窦炽	douchi
豆卢勣	douluji
豆卢宁	douluning
豆卢氏	doulushi
豆卢突	doulutu
豆卢永恩	douluyongen
豆罗突	douluotu
窦毅	douyi
杜弼	dubi
杜杲	dugao
独孤伽罗	dugujialuo
独孤库者	dugukuzhe
独孤信	duguxin
独孤永业	duguyongye
杜皇后	duhuanghou
杜洛周	duluozhou
杜叔毗	dushupi
段达	duanda
段荣	duanrong
段韶	duanshao
段永	duanyong
段昭仪	duanzhaoyi
顿丘公主	dunqiugongzhu
尔绵氏	ermianshi
尔朱菩提	erzhuputi
尔朱世隆	erzhushilong
尔朱天光	erzhutianguang
尔朱文畅	erzhuwenchang
尔朱文略	erzhuwenlue
尔朱文殊	erzhuwenshu
尔朱英娥	erzhuyinge
尔朱御女	erzhuyunv
尔朱兆	erzhuzhao
法净	fajing
樊深	fanshen
樊叔略	fanshulue
房彦谦	fangyanqian
废后冯清	feihoufengqing
费也头	feiyetou
冯景	fengjing
封隆之	fenglongzhi
冯清	fengqing
冯润	fengrun
冯氏	fengshi
冯小怜	fengxiaolian
封孝琬	fengxiaowan
封孝琰	fengxiaoyan
冯翊公主	fengyigongzhu
冯翊王元季海	fengyiwangyuanjihai
冯翊长公主	fengyizhanggongzhu
冯子琮	fengzicong
扶猛	fumeng
富平公主	fupinggongzhu
高阿那肱	gaoanagong
高昂	gaoang
高敖曹	gaoaocao
高百年	gaobainian
高宾	gaobin
高长恭	gaochanggong
高琛	gaochen
高绰	gaochuo
高德政	gaodezheng
高归彦	gaoguiyan
高弘节	gaohongjie
高涣	gaohuan
高皇后	gaohuanghou
高济	gaoji
高季式	gaojishi
高湝	gaojie
高熲	gaojiong
高浚	gaojun
高廓	gaokuo
高亮	gaoliang
高琳	gaolin
高隆之	gaolongzhi
高凝	gaoning
高平公主	gaopinggongzhu
高洽	gaoqia
高乾	gaoqian
高仁光	gaorenguang
高仁几	gaorenji
高仁俭	gaorenjian
高仁谦	gaorenqian
高仁雅	gaorenya
高仁英	gaorenying
高仁邕	gaorenyong
高仁直	gaorenzhi
高睿	gaorui
高润	gaorun
高绍德	gaoshaode
高绍廉	gaoshaolian
高绍仁	gaoshaoren
高绍信	gaoshaoxin
高绍义	gaoshaoyi
高慎	gaoshen
高湜	gaoshi
高树	gaoshu
高孝瓘	gaoxiaoguan
高孝珩	gaoxiaoheng
高孝琬	gaoxiaowan
高孝瑜	gaoxiaoyu
高俨	gaoyan
高淹	gaoyan
高彦德	gaoyande
高彦基	gaoyanji
高彦康	gaoyankang
高彦理	gaoyanli
高彦忠	gaoyanzhong
高延宗	gaoyanzong
高阳文穆王元雍	gaoyangwenmuwangyuanyong
高永乐	gaoyongle
高浟	gaoyou
高淯	gaoyu
高元海	gaoyuanhai
高岳	gaoyue
高照容	gaozhaorong
高贞	gaozhen
高正礼	gaozhengli
高仲密	gaozhongmi
耿豪	genghao
更兴	gengxing
恭皇后	gonghuanghou
广川庄王拓跋略	guangchuanzhuangwangtuobalue
广陵惠王元羽	guanglinghuiwangyuanyu
广陵王元诩	guanglingwangyuanxu
广宁王	guangningwang
广平殇王拓	guangpingshangwangtuo
广平王拓跋连	guangpingwangtuobalian
广平王元赞	guangpingwangyuanzan
广平武穆王元怀	guangpingwumuwangyuanhuai
广阳王元深	guangyangwangyuanshen
郭贤	guoxian
涡阳	guoyang
韩哀王拓跋平	hanaiwangtuobaping
韩长鸾	hanchangluan
韩凤	hanfeng
韩轨	hangui
韩果	hanguo
韩雄	hanxiong
贺拔度拔	hebaduba
贺拔胜	hebasheng
贺拔氏	hebashi
贺拔允	hebayun
贺拨允	heboyun
何稠	hechou
纥豆陵步藩	hedoulingbufan
纥豆陵氏	hedoulingshi
纥豆陵伊利	hedoulingyili
纥干氏	heganshi
贺皇后	hehuanghou
和稽氏	hejishi
河间王	hejianwang
河间王拓跋修	hejianwangtuobaxiu
河间孝王拓跋若	hejianxiaowangtuobaruo
贺兰初真	helanchuzhen
贺兰祥	helanxiang
赫连达	helianda
赫连皇后	helianhuanghou
赫连子悦	helianziyue
贺娄乌兰	helouwulan
河南公主	henangongzhu
河南王	henanwang
河南王拓跋曜	henanwangtuobayao
河清	heqing
贺若弼	heruobi
贺若敦	heruodun
贺若谊	heruoyi
和士开	heshikai
侯伏侯龙恩	houfuhoulongen
侯景	houjing
侯吕陵氏	houlvlingshi
侯莫陈崇	houmochenchong
侯莫陈凯	houmochenkai
侯莫陈琼	houmochenqiong
侯莫陈芮	houmochenrui
侯莫陈氏	houmochenshi
侯莫陈顺	houmochenshun
侯莫陈相	houmochenxiang
侯莫陈悦	houmochenyue
侯尼于	houniyu
侯植	houzhi
胡布头	hubutou
胡长仁	huchangren
胡皇后	huhuanghou
斛律光	hulvguang
斛律恒伽	hulvhengjia
斛律金	hulvjin
斛律沙门	hulvshamen
斛律世雄	hulvshixiong
斛律武都	hulvwudu
斛律羡	hulvxian
斛律须达	hulvxuda
斛斯征	husizheng
华光	huaguang
华皎	huajiao
华林遍略	hualinbianlue
华胜	huasheng
华首	huashou
华阳公主	huayanggongzhu
华阴公主获泽公主	huayingongzhuhuozegongzhu
淮安王元育	huaianwangyuanyu
淮阳长公主	huaiyangzhanggongzhu
皇甫璠	huangfufan
皇甫氏	huangfushi
皇甫遐	huangfuxia
皇建	huangjian
济北公元迪	jibeigongyuandi
冀俊	jijun
济南公主	jinangongzhu
济阴王拓跋小新成	jiyinwangtuobaxiaoxincheng
建安长公主	jiananzhanggongzhu
建德	jiande
建德公主	jiandegongzhu
建宁王拓跋崇	jianningwangtuobachong
建武	jianwu
建兴公主	jianxinggongzhu
蒋升	jiangsheng
江总	jiangzong
解拔弥俄突	jiebamietu
晋安公主	jinangongzhu
金明公主	jinminggongzhu
晋王拓跋伏罗	jinwangtuobafuluo
静德皇后	jingdehuanghou
荆可	jingke
景穆帝拓跋晃	jingmudituobahuang
京兆康王拓跋子推	jingzhaokangwangtuobazitui
京兆王拓跋黎	jingzhaowangtuobali
京兆王元愉	jingzhaowangyuanyu
沮渠夫人	juqufuren
峻成陵	junchengling
可贺敦皇后	kehedunhuanghou
可频氏	kepinshi
可朱浑元	kezhuhunyuan
寇俊	koujun
寇洛	kouluo
库狄干	kudigan
库狄回洛	kudihuiluo
库狄峙	kudizhi
库汗氏	kuhanshi
兰改	langai
兰京	lanjing
兰陵公主	lanlinggongzhu
兰钦	lanqin
琅琊公主	langyagongzhu
琅琊公主元玉仪	langyagongzhuyuanyuyi
乐陵康王拓跋胡儿	laolingkangwangtuobahuer
乐安公主	leangongzhu
乐安宣王拓跋范	leanxuanwangtuobafan
乐良公主	lelianggongzhu
乐良厉王拓跋万寿	leliangliwangtuobawanshou
乐平公主	lepinggongzhu
乐平戾王拓跋丕	lepingliwangtuobapi
乐逊	lexun
乐运	leyun
李百药	libaiyao
李弼	libi
李檦	libiao
李昶	lichang
李昌仪	lichangyi
李德林	lidelin
李娥姿	liezi
李和	lihe
李皇后	lihuanghou
李辉	lihui
黎景熙	lijingxi
李敏	limin
李穆	limu
李迁哲	liqianzhe
李顺兴	lishunxing
李棠	litang
李贤	lixian
李询	lixun
李彦	liyan
李延孙	liyansun
溧阳公主	liyanggongzhu
李耀	liyao
李远	liyuan
李元忠	liyuanzhong
李植	lizhi
李祖娥	lizue
李祖升	lizusheng
梁椿	liangchun
良家子	liangjiazi
梁弥定	liangmiding
梁默	liangmo
梁睿	liangrui
梁士彦	liangshiyan
梁台	liangtai
梁昕	liangxin
梁御	liangyu
林贵妃	linguifei
临淮王拓跋谭	linhuaiwangtuobatan
临淮王元彧	linhuaiwangyuanyu
麟趾格	linzhige
令狐熙	linghuxi
令狐休	linghuxiu
令狐整	linghuzheng
灵太后	lingtaihou
刘璠	liufan
刘昉	liufang
刘丰生	liufengsheng
刘贵	liugui
柳桧	liugui
柳弘	liuhong
刘皇后	liuhuanghou
柳机	liuji
刘亮	liuliang
刘没铎	liumeiduo
柳敏	liumin
柳庆	liuqing
柳虬	liuqiu
柳述	liushu
刘桃枝	liutaozhi
刘逖	liuti
刘雄	liuxiong
刘休征	liuxiuzheng
刘志	liuzhi
隆化	longhua
娄妃	loufei
娄内干	louneigan
娄睿	lourui
娄昭	louzhao
娄昭君	louzhaojun
卢辩	lubian
陆操	lucao
陆逞	lucheng
卢诞	ludan
卢光	luguang
卢景裕	lujingyu
卢恺	lukai
陆令萱	lulingxuan
庐陵长公主	lulingzhanggongzhu
卢潜	luqian
卢柔	lurou
鲁氏	lushi
卢思道	lusidao
陆腾	luteng
陆通	lutong
吕思礼	lvsili
闾左昭仪	lvzuozhaoyi
祢罗突	miluotu
乜列河	mieliehe
灭齐三策	mieqisance
明德皇后	mingdehuanghou
明帝独孤皇后	mingdiduguhuanghou
明元帝拓跋嗣	mingyuandituobasi
明元昭哀皇后西平公主	mingyuanzhaoaihuanghouxipinggongzhu
莫多娄贷文	moduoloudaiwen
莫多娄敬显	moduoloujingxian
莫胡卢氏	mohulushi
万俟洛	moqiluo
万俟普	moqipu
万俟受洛干	moqishouluogan
摩头陀	motoutuo
