按察官	anchaguan
谘议	ziyi
谘议军事	ziyijunshi
总赋	zongfu
总干	zonggan
总管司	zongguansi
总计	zongji
总领	zongling
总领官	zonglingguan
总领湖北	zonglinghubei
总领淮西	zonglinghuaixi
总领司	zonglingsi
总领所	zonglingsuo
总卿	zongqing
总属	zongshu
总司	zongsi
总所	zongsuo
总辖	zongxia
总饷	zongxiang
总庾	zongyu
走马	zouma
走马承受	zoumachengshou
本兵	benbing
编礼	bianli
编修文字	bianxiuwenzi
兵部告院	bingbugaoyuan
兵府	bingfu
剥马务	bomawu
剥手	boshou
差遣院	chaiqianyuan
长本兵	changbenbing
朝集院	chaojiyuan
朝廷	chaoting
丞相府	chengxiangfu
承旨官	chengzhiguan
承旨司	chengzhisi
敕令所	chilingsuo
大程官	dachengguan
大程官营	dachengguanying
待漏院	dailouyuan
鼎司	dingsi
东府	dongfu
东閤	dongge
东审院	dongshenyuan
东院	dongyuan
都承	doucheng
都承旨	douchengzhi
都检正	doujianzheng
都库经	doukujing
二府	erfu
贰枢	ershu
贰枢筦	ershuguan
贰枢廷	ershuting
发敕官	fachiguan
发敕司	fachisi
法司	fasi
法司贴司	fasitiesi
废置司	feizhisi
副都承旨	fudouchengzhi
副都统制	fudutongzhi
副密	fumi
副枢	fushu
格式	geshi
格式司	geshisi
供检文字	gongjianwenzi
弓马教头	gongmajiaotou
勾当公事	goudanggongshi
勾当司事	goudangsishi
官告院	guangaoyuan
官制局	guanzhiju
官制所	guanzhisuo
洪枢	hongshu
鸿枢	hongshu
黄扉	huangfei
黄閤	huangge
激赏酒库	jishangjiuku
激赏库	jishangku
计议官	jiyiguan
记注官	jizhuguan
甲库	jiaku
监门官	jianmenguan
检详	jianxiang
检详官	jianxiangguan
检详所	jianxiangsuo
检正	jianzheng
检正公事	jianzhenggongshi
监专公人	jianzhuangongren
军典	jundian
考课院	kaokeyuan
尅择官	keizeguan
库经	kujing
库务司	kuwusi
廊庙	langmiao
吏部告院	libugaoyuan
吏部甲库	libujiaku
吏部南曹	libunancao
吏部铨	libuquan
吏部三铨	libusanquan
吏部三司	libusansi
礼仪院	liyiyuan
礼院	liyuan
礼院生	liyuansheng
两地	liangdi
两司	liangsi
令吏	lingli
领枢密院	lingshumiyuan
领院	lingyuan
领院事	lingyuanshi
流内铨	liuneiquan
流外铨	liuwaiquan
门官	menguan
密地	midi
密府	mifu
密使	mishi
密院	miyuan
庙堂	miaotang
磨勘司	mokansi
磨勘院	mokanyuan
南曹	nancao
内枢	neishu
判曹	pancao
判官告院	panguangaoyuan
判吏部铨	panlibuquan
判礼仪院	panliyiyuan
判礼院	panliyuan
