孙权	sunquan
宣高	xuangao
玄茂	xuanmao
玄威	xuanwei
玄武	xuanwu
彦材	yancai
演长	yanchang
彦靖	yanjing
彦林	yanlin
彦龙	yanlong
彦士	yanshi
彦英	yanying
阳土	yangtu
义博	yibo
翼德	yide
异度	yidu
义封	yifeng
义公	yigong
义举	yiju
义权	yiquan
义山	yishan
义真	yizhen
颖伯	yingbo
颖老	yinglao
永年	yongnian
永先	yongxian
幼常	youchang
幼节	youjie
幼平	youping
友若	youruo
幼台	youtai
幼宰	youzai
元伯	yuanbo
元才	yuancai
元常	yuanchang
元代	yuandai
元放	yuanfang
元皓	yuanhao
元化	yuanhua
元机	yuanji
元将	yuanjiang
元凯	yuankai
元龙	yuanlong
元明	yuanming
元让	yuanrang
元升	yuansheng
元嗣	yuansi
元泰	yuantai
元叹	yuantan
元休	yuanxiu
元逊	yuanxun
元异	yuanyi
元颖	yuanying
元则	yuanze
元直	yuanzhi
元仲	yuanzhong
云长	yunchang
昭伯	zhaobo
昭先	zhaoxian
正方	zhengfang
正礼	zhengli
正明	zhengming
正南	zhengnan
正平	zhengping
稚权	zhiquan
稚叔	zhishu
仲达	zhongda
仲德	zhongde
仲恭	zhonggong
仲简	zhongjian
仲康	zhongkang
仲麟	zhonglin
仲谋	zhongmou
仲权	zhongquan
仲若	zhongruo
仲嗣	zhongsi
仲思	zhongsi
仲台	zhongtai
仲翔	zhongxiang
仲宣	zhongxuan
仲业	zhongye
仲异	zhongyi
仲颖	zhongying
仲远	zhongyuan
仲真	zhongzhen
仲直	zhongzhi
仲子	zhongzi
周扬	zhouyang
子邦	zibang
子伯	zibo
子布	zibu
子产	zichan
子敕	zichi
子初	zichu
子丹	zidan
子度	zidu
子干	zigan
子纲	zigang
子高	zigao
子贡	zigong
子和	zihe
子衡	ziheng
子桓	zihuan
子璜	zihuang
子建	zijian
子将	zijiang
子敬	zijing
子均	zijun
子恪	zike
子廉	zilian
子烈	zilie
子林	zilin
子龙	zilong
子明	ziming
子佩	zipei
子奇	ziqi
子弃	ziqi
子全	ziquan
子柔	zirou
子山	zishan
子尚	zishang
子师	zishi
子叔	zishu
子台	zitai
子泰	zitai
子通	zitong
子文	ziwen
子孝	zixiao
子修	zixiu
子绪	zixu
子扬	ziyang
子义	ziyi
子翼	ziyi
子雍	ziyong
子鱼	ziyu
子瑜	ziyu
子远	ziyuan
子元	ziyuan
子云	ziyun
子仲	zizhong
祖荣	zurong
佐治	zuozhi
阿会喃	ahuinan
白寿	baishou
鲍隆	baolong
鲍素	baosu
鲍信	baoxin
鲍忠	baozhong
卑衍	beiyan
毕轨	bigui
边洪	bianhong
边让	bianrang
卞氏	bianshi
卞喜	bianxi
步阐	buchan
步骘	buzhi
蔡和	caihe
蔡林	cailin
蔡氏	caishi
蔡王熏	caiwangxun
蔡阳	caiyang
蔡中	caizhong
蔡邕	caiyong
蔡琰	caiyan
蔡瑁	caimao
曹昂	caoang
曹豹	caobao
曹彪	caobiao
曹参	caocan
曹操	caocao|caoa
曹操集	caocaoji
曹冲	caochong
曹纯	caochun
曹德	caode
曹芳	caofang
曹干	caogan
曹洪	caohong
曹华	caohua
曹节	caojie
曹据	caoju
曹均	caojun
曹林	caolin
曹霖	caolin
曹孟德	caomengde
曹仁	caoren
曹氏	caoshi
曹爽	caoshuang
曹腾	caoteng
曹文叔	caowenshu
曹性	caoxing
曹熊	caoxiong
曹休	caoxiu
曹训	caoxun
曹彦	caoyan
曹永	caoyong
曹宇	caoyu
曹彰	caozhang
曹真	caozhen
曹植	caozhi|caoa
曹遵	caozun
曹丕	caopi|caoa
曹奂	caohuan
曹嵩	caosong
曹睿	caorui
曹羲	caoxi
曹髦	caomao
昌奇	changqi
常林	changlin
长安	changan
车胄	chezhou
彻里吉	cheliji
陈珪	chengui
陈耽	chendan
陈登	chendeng|chena
陈宫	chengong|chena
陈横	chenheng
陈纪	chenji
陈矫	chenjiao
陈就	chenjiu
陈俊	chenjun
陈兰	chenlan
陈琳	chenlin
陈群	chenqun|chena
陈生	chensheng
陈式	chenshi
陈氏	chenshi
陈孙	chensun
陈泰	chentai
陈武	chenwu
陈翔	chenxiang
陈应	chenying
陈元	chenyuan
陈造	chenzao
陈震	chenzhen
陈蕃	chenfan
陈骞	chenqian
陈炜	chenwei
成济	chengji
成廉	chenglian
成宜	chengyi
程秉	chengbing
程旷	chengkuang
程普	chengpu
程武	chengwu
程银	chengyin
程远志	chengyuanzhi
程咨	chengzi
程畿	chengji
程昱	chengyu|chenga
赤壁之战	chibizhizhan
仇连	choulian
淳于丹	chunyudan
淳于导	chunyudao
淳于琼	chunyuqiong
崔夫人	cuifuren
崔谅	cuiliang
崔烈	cuilie
崔毅	cuiyi
崔勇	cuiyong
崔禹	cuiyu
崔州平	cuizhouping
崔琰	cuiyan
大乔	daqiao|daa
戴陵	dailing
戴员	daiyuan
带来洞主	dailaidongzhu
单于	chanyu
单子春	danzichun
党均	dangjun
邓艾	dengai|denga
邓程	dengcheng
邓敦	dengdun
邓良	dengliang
邓龙	denglong
邓茂	dengmao
邓铜	dengtong
邓贤	dengxian
邓义	dengyi
邓芝	dengzhi
邓忠	dengzhong
翟元	zhaiyuan
典满	dianman
典韦	dianwei
丁封	dingfeng
丁奉	dingfeng
丁夫人	dingfuren
丁管	dingguan
丁立	dingli
丁咸	dingxian
丁仪	dingyi
丁原	dingyuan
丁谧	dingmi
丁斐	dingfei
董朝	dongchao
董承	dongcheng
董贵妃	dongguifei
董和	donghe
董衡	dongheng
董母	dongmu
董太后	dongtaihou
董袭	dongxi
董寻	dongxun
董允	dongyun
董昭	dongzhao
董治	dongzhi
董重	dongzhong
董卓	dongzhuo
董厥	dongjue
董荼那	dongtuna
董璜	donghuang
董祀	dongsi
董禧	dongxi
督邮	duyou
杜路	dulu
杜琼	duqiong
杜微	duwei
杜袭	duxi
杜义	duyi
杜预	duyu
杜远	duyuan
杜畿	duji
杜祺	duqi
杜睿	durui
段珪	duangui
段煨	duanwei
朵思大王	duosidawang
俄何烧戈	eheshaoge
鄂焕	ehuan
法正	fazheng|faa
樊稠	fanchou
樊建	fanjian
樊能	fanneng
樊氏	fanshi
樊岐	fanqi
范成	fancheng
范疆	fanjiang
范康	fankang
范滂	fanpang
方悦	fangyue
费诗	feishi
费耀	feiyao
封谞	fengxu
逢纪	fengji
冯方女	fengfangnv
冯礼	fengli
冯习	fengxi
伏德	fude
伏皇后	fuhuanghou
伏完	fuwan
傅干	fugan
傅士仁	fushiren
傅彤	futong
傅婴	fuying
傅嘏	fugu
傅佥	fuqian
傅巽	fuxun
干休	ganxiu
甘夫人	ganfuren
甘宁	ganning
高定	gaoding
高干	gaogan
高览	gaolan
高沛	gaopei
高柔	gaorou
高升	gaosheng
高顺	gaoshun
高翔	gaoxiang
戈定	geding
葛雍	geyong
耿纪	gengji
耿武	gengwu
攻心为上	gongxinweishang
龚都	gongdu|gongdou
龚景	gongjing
龚起	gongqi
公孙度	gongsundu
公孙恭	gongsungong
公孙晃	gongsunhuang
公孙康	gongsunkang
公孙修	gongsunxiu
公孙渊	gongsunyuan
公孙越	gongsunyue
公孙瓒	gongsunzan
巩志	gongzhi
苟安	gouan
谷利	guli
顾雍	guyong
关纯	guanchun
关定	guanding
关宁	guanning
关平	guanping
关索	guansuo
关兴	guanxing
关彝	guanyi
关羽	guanyu|guana
官渡之战	guanduzhizhan
管宁	guanning
管辂	guanlu
管辂舅	guanlujiu
郭常	guochang
郭常子	guochangzi
郭恩	guoen
郭夫人	guofuren
郭贵妃	guoguifei
郭淮	guohuai
郭嘉	guojia|guoa
郭妻	guoqi
郭胜	guosheng
郭图	guotu
郭永	guoyong
郭攸之	guoyouzhi
郭奕	guoyi
郭汜	guosi
国渊	guoyuan
韩当	handang
韩德	hande
韩福	hanfu
韩浩	hanhao
韩猛	hanmeng
韩琼	hanqiong
韩融	hanrong
韩遂	hansui
韩玄	hanxuan
韩瑶	hanyao
韩忠	hanzhong
韩综	hanzong
韩胤	hanyin
韩莒子	hanjuzi
韩嵩	hansong
韩暹	hanxian
韩珩	hanheng
韩琪	hanqi
韩瑛	hanying
韩祯	hanzhen
韩馥	hanfu
韩暨	hanji
汉灵帝	hanlingdi
汉献帝	hanxiandi
郝萌	haomeng
郝昭	haozhao|haoa
和洽	heqia
何进	hejin
何曼	heman
何苗	hemiao
何氏	heshi
何太后	hetaihou
何仪	heyi
何植	hezhi
何宗	hezong
何晏	heyan
何顒	heyong|heyu
合肥之战	hefeizhizhan
侯成	houcheng
侯览	houlan
侯选	houxuan
后槽	houcao
胡班	huban
胡才	hucai
胡车儿	hucheer
胡赤儿	huchier
胡冲	huchong
胡奋	hufen
胡华	huhua
胡济	huji
胡烈	hulie
胡氏	hushi
胡渊	huyuan
胡昭	huzhao
胡质	huzhi
胡忠	huzhong
胡遵	huzun
胡邈	humiao
胡轸	huzhen
花永	huayong
华核	huahe
华雄	huaxiong
华佗	huatuo
华歆	huaxin
桓范	huanfan
桓嘉	huanjia
桓阶	huanjie
桓威	huanwei
桓彝	huanyi
黄承彦	huangchengyan
黄崇	huangchong
黄盖	huanggai
黄巾起义	huangjinqiyi
黄奎	huangkui
黄权	huangquan
黄氏	huangshi
黄忠	huangzhong
黄祖	huangzu
黄劭	huangshao
黄琬	huangwan
黄皓	huanghao
皇甫郦	huangfuli
皇甫嵩	huangfusong
皇甫闿	huangfukai
霍峻	huojun
霍弋	huoyi
吉穆	jimu
吉太	jitai
吉邈	jimiao
纪灵	jiling
贾充	jiachong
贾范	jiafan
贾华	jiahua
贾诩	jiaxu|jiaa
贾逵	jiakui
简雍	jianyong
姜冏	jiangjiong
姜维	jiangwei|jianga
姜叙	jiangxu
姜叙母	jiangxumu
蒋班	jiangban
蒋斌	jiangbin
蒋干	jianggan
蒋济	jiangji
蒋奇	jiangqi
蒋钦	jiangqin
蒋舒	jiangshu
蒋显	jiangxian
蒋延	jiangyan
蒋义渠	jiangyiqu
蒋琬	jiangwan|jianga
焦炳	jiaobing
焦伯	jiaobo
焦触	jiaochu
焦彝	jiaoyi
金尚	jinshang
金旋	jinxuan
靳祥	jinxiang
沮授	jushou
沮鹄	juhu
句安	juan
军士	junshi
孔融	kongrong
孔秀	kongxiu
孔宙	kongzhou
孔亻由	kongdanyou
孔昱	kongyu
来敏	laimin
赖恭	laigong
乐进	lejin
乐就	lejiu
雷薄	leibo|leibao
雷铜	leitong
雷叙	leixu
梨树神	lishushen
李傕	lijue
李珪	ligui
李别	libie
李崇	lichong
李春香	lichunxiang
李典	lidian
李丰	lifeng
李封	lifeng
李伏	lifu
李服	lifu
李福	lifu
李辅	lifu
李虎	lihu
李恢	lihui
李堪	likan
李乐	lile
李蒙	limeng
李鹏	lipeng
李球	liqiu
李儒	liru|lia
李胜	lisheng
李氏	lishi
李肃	lisu
李通	litong
李严	liyan
李意	liyi
李异	liyi
李撰	lizhuan
李膺	liying
李暹	lixian
李孚	lifu
李歆	lixin
梁刚	lianggang
梁宽	liangkuan
梁习	liangxi
梁兴	liangxing
梁绪	liangxu
梁畿	liangji
梁虔	liangqian
廖淳	liaochun
廖化	liaohua
廖立	liaoli
凌操	lingcao
凌统	lingtong
留略	liulue
留平	liuping
留赞	liuzan
刘寔	liushi
刘艾	liuai
刘安	liuan
刘巴	liuba
刘豹	liubao
刘备	liubei
刘辟	liupi
刘辩	liubian
刘表	liubiao
刘宠	liuchong
刘达	liuda
刘度	liudu
刘范	liufan
刘放	liufang
刘封	liufeng
刘合	liuhe
刘恢	liuhui
刘理	liuli
刘泌	liumi
刘敏	liumin
刘宁	liuning
刘磐	liupan
刘日俊	liurijun
刘氏	liushi
刘陶	liutao
刘王贵	liuwanggui
刘熙	liuxi
刘先	liuxian
刘贤	liuxian
刘协	liuxie
刘勋	liuxun
刘循	liuxun
刘焉	liuyan
刘延	liuyan
刘瑶	liuyao
刘永	liuyong
刘虞	liuyu
刘元起	liuyuanqi
刘子扬	liuziyang
刘丞	liucheng
刘谌	liushen|liuchen
刘劭	liushao
刘苌	liuchang
刘岱	liudai
刘恂	liuxun
刘琦	liuqi
刘琰	liuyan
刘琮	liucong
刘琬	liuwan
刘瑁	liumao
刘璋	liuzhang
刘璩	liuqu
刘瓒	liuzan
刘桢	liuzhen
刘晔	liuye
刘禅	liushan|liuchan
刘馥	liufu
刘繇	liuyao
柳甫	liufu
楼玄	louxuan
娄子伯	louzibo
卢逊	luxun
卢植	luzhi
卢毓	luyu
卤城太守	luchengtaishou
鲁肃	lusu|lua
鲁芝	luzhi
鲁馗	lukui
路昭	luzhao
陆绩	luji
陆景	lujing
陆骏	lujun
陆凯	lukai
陆康	lukang
陆抗	lukang
陆逊	luxun|lua
陆纡	luyu
吕霸	lvba
吕伯奢	lvboshe
吕布	lvbu
吕常	lvchang
吕范	lvfan
吕公	lvgong
吕建	lvjian
吕据	lvju
吕凯	lvkai
吕旷	lvkuang
吕蒙	lvmeng|lva
吕通	lvtong
吕威璜	lvweihuang
吕翔	lvxiang
吕义	lvyi
吕岱	lvdai
吕虔	lvqian
伦直	lunzhi
洛阳	luoyang
骆统	luotong
马超	machao
马汉	mahan
马均	majun
马良	maliang|maa
马日磾	maridi
马融	marong
马肃	masu
马腾	mateng
马铁	matie
马玩	mawan
马休	maxiu
马延	mayan
马宇	mayu
马玉	mayu
马元义	mayuanyi
马忠	mazhong
马遵	mazun
马谡	masu|maa
马岱	madai
马邈	mamiao
满宠	manchong
忙牙长	mangyachang
孟达	mengda
孟公威	menggongwei
孟光	mengguang
孟获	menghuo
孟节	mengjie
孟坦	mengtan
孟优	mengyou
孟宗	mengzong
糜芳	mifang
糜夫人	mifuren
糜竺	mizhu
迷当	midang
苗泽	miaoze
慕容烈	muronglie
木鹿大王	muludawang
穆顺	mushun
南华老仙	nanhualaoxian
宁随	ningsui
牛辅	niufu
牛金	niujin
潘夫人	panfuren
潘举	panju
潘遂	pansui
潘隐	panyin
潘璋	panzhang
庞德公	pangdegong
庞会	panghui
庞柔	pangrou
庞舒	pangshu
庞统	pangtong|panga
庞义	pangyi
庞羲	pangxi
裴景	peijing
裴秀	peixiu
裴绪	peixu
裴元绍	peiyuanshao
彭安	pengan
彭伯	pengbo
彭和	penghe
普净	pujing
牵弘	qianhong
牵招	qianzhao
桥玄	qiaoxuan
桥蕤	qiaorui
乔国老	qiaoguolao
乔瑁	qiaomao
秦朗	qinlang
秦良	qinliang
秦明	qinming
秦庆童	qinqingtong
秦宓	qinmi
秦琪	qinqi
青州兵	qingzhoubing
清河公主	qinghegongzhu
丘本	qiuben
丘建	qiujian
区星	quxing
全后	quanhou
全纪	quanji
全尚	quanshang
全尚妻	quanshangqi
全怿	quanyi
全琮	quancong
却正	quezheng
群雄割据	qunxionggeju
任峻	renjun
任夔	renkui
三国鼎立	sanguodingli
沙摩柯	shamoke
山神	shanshen
山涛	shantao
尚广	shangguang
尚弘	shanghong
邵悌	shaoti
申耽	shendan
申仪	shenyi
沈莹	shenying
审配	shenpei
审荣	shenrong
师婆	shipo
师纂	shizuan
施朔	shishuo
石苞	shibao
石广元	shiguangyuan
史涣	shihuan
史迹	shiji
司马防	simafang
司马徽	simahui
司马朗	simalang
司马师	simashi
司马望	simawang
司马炎	simayan
司马昭	simazhao|simaa
司马攸	simayou
司马懿	simayi|simaa
司马孚	simafu
司马隽	simajuan
司蕃	sifan
宋白	songbai
宋果	songguo
宋谦	songqian
宋宪	songxian
宋忠	songzhong
苏飞	sufei
苏双	sushuang
苏由	suyou
苏越	suyue
苏顒	suyong|suyu
孙策	sunce
孙登	sundeng
孙端	sunduan
孙恩	sunen
孙干	sungan
孙高	sungao
孙恭	sungong
孙观	sunguan
孙和	sunhe
孙河	sunhe
孙桓	sunhuan
孙冀	sunji
孙坚	sunjian
孙据	sunju
孙峻	sunjun
孙楷	sunkai
孙匡	sunkuang
孙朗	sunlang
孙礼	sunli
孙亮	sunliang
孙谦	sunqian
孙乾	sunqian
孙权	sunquan
孙仁	sunren
孙韶	sunshao
孙休	sunxiu
孙秀	sunxiu
孙异	sunyi
孙仲	sunzhong
孙资	sunzi
孙瑜	sunyu
孙闿	sunkai
孙歆	sunxin
孙皎	sunjiao
孙皓	sunhao
孙翊	sunyi
蹋顿	tadun
太史慈	taishici
太史亨	taishiheng
檀敷	tanfu
谭雄	tanxiong
唐彬	tangbin
唐周	tangzhou
唐咨	tangzi
唐妃	tangfei
陶商	taoshang
陶应	taoying
田畴	tianchou
田丰	tianfeng|tiana
田楷	tiankai
田氏	tianshi
田续	tianxu
田豫	tianyu
田章	tianzhang
土安	tuan
万彧	wanyu
万政	wanzheng
汪昭	wangzhao
王必	wangbi
王昌	wangchang
王敦	wangdun
王方	wangfang
王夫人	wangfuren
王甫	wangfu
王观	wangguan
王含	wanghan
王浑	wanghun
王基	wangji
王建	wangjian
王经	wangjing
王楷	wangkai
王匡	wangkuang
王朗	wanglang|wanga
王累	wanglei
王立	wangli
王连	wanglian
王烈	wanglie
王凌	wangling
王买	wangmai
王美人	wangmeiren
王谋	wangmou
王平	wangping
王戎	wangrong
王沈	wangshen
王氏	wangshi
王双	wangshuang
王肃	wangsu
王威	wangwei
王祥	wangxiang
王修	wangxiu
王业	wangye
王邑	wangyi
王允	wangyun
王则	wangze
王真	wangzhen
王植	wangzhi
王忠	wangzhong
王子服	wangzifu
王伉	wangkang
王弼	wangbi
王琰	wangyan
王韬	wangtao
王昶	wangchang
王颀	wangqi
王粲	wangcan
韦晃	weihuang
韦康	weikang
魏平	weiping
魏续	weixu
魏延	weiyan
魏邈	weimiao
卫瓘	weiguan
卫弘	weihong
卫凯	weikai
卫演	weiyan
卫仲道	weizhongdao
卫觊	weiji
温恢	wenhui
文丑	wenchou
文虎	wenhu
文聘	wenpin
文钦	wenqin
文淑	wenshu
乌桓触	wuhuanchu
吾彦	wuyan
吾粲	wucan
吴班	wuban
吴臣	wuchen
吴敦	wudun
吴夫人	wufuren
吴纲	wugang
吴国太	wuguotai
吴景	wujing
吴匡	wukuang
吴兰	wulan
吴妻	wuqi
吴氏	wushi
吴硕	wushuo
吴押狱	wuyayu
吴质	wuzhi
吴子兰	wuzilan
吴懿	wuyi
毋丘甸	wuqiudian
毋丘俭	wuqiujian
武安国	wuanguo
舞阳君	wuyangjun
伍琼	wuqiong
伍习	wuxi
伍延	wuyan
伍孚	wufu
戏志才	xizhicai
夏侯楙	xiahoumao
夏侯霸	xiahouba
夏侯存	xiahoucun
夏侯德	xiahoude
夏侯敦	xiahoudun
夏侯恩	xiahouen
夏侯和	xiahouhe
夏侯惠	xiahouhui
夏侯杰	xiahoujie
夏侯兰	xiahoulan
夏侯尚	xiahoushang
夏侯威	xiahouwei
夏侯咸	xiahouxian
夏侯玄	xiahouxuan
夏侯渊	xiahouyuan
夏恂	xiaxun
夏恽	xiayun
向宠	xiangchong
向举	xiangju
向朗	xianglang
小乔	xiaoqiao|xiaoa
谢雄	xiexiong
谢旌	xiejing
辛敞	xinchang
辛明	xinming
辛毗	xinpi
辛评	xinping
辛宪英	xinxianying
刑道荣	xingdaorong
刑贞	xingzhen
徐干	xugan
徐晃	xuhuang
徐康	xukang
徐母	xumu
徐荣	xurong
徐商	xushang
徐盛	xusheng
徐氏	xushi
徐庶	xushu|xua
徐质	xuzhi
徐邈	xumiao
许昌	xuchang
许慈	xuci
许贡	xugong
许贡家客	xugongjiake
许靖	xujing
许韶	xushao
许仪	xuyi
许允	xuyun
许芝	xuzhi
许攸	xuyou
许劭	xushao
许汜	xusi
许晏	xuyan
许褚	xuchu|xuzhu
薛兰	xuelan
薛礼	xueli
薛乔	xueqiao
薛莹	xueying
薛则	xueze
薛综	xuezong
薛悌	xueti
雅丹	yadan
严畯	yanjun
严白虎	yanbaihu
严纲	yangang
严氏	yanshi
严颜	yanyan
严舆	yanyu
严政	yanzheng
颜良	yanliang
阎圃	yanpu|yana
阎象	yanxiang
阎宇	yanyu
阎芝	yanzhi
阎晏	yanyan
杨昂	yangang
杨柏	yangbai
杨彪	yangbiao
杨丑	yangchou
杨锋	yangfeng
杨奉	yangfeng
杨阜	yangfu
杨洪	yanghong
杨怀	yanghuai
杨济	yangji
杨俊	yangjun
杨龄	yangling
杨陵	yangling
杨密	yangmi
杨秋	yangqiu
杨任	yangren
杨氏	yangshi
杨松	yangsong
杨欣	yangxin
杨修	yangxiu|yanga
杨仪	yangyi
杨综	yangzong
杨琦	yangqi
杨祚	yangzuo
杨顒	yangyong|yangyu
杨暨	yangji
羊祜	yanghu
阳群	yangqun
伊籍	yiji
殷纯	yinchun
殷馗	yinkui
阴夔	yinkui
尹大目	yindamu
尹奉	yinfeng
尹楷	yinkai
尹礼	yinli
尹默	yinmo
尹赏	yinshang
应劭	yingshao
雍闿	yongkai
于吉	yuji
于禁	yujin
于糜	yumi
于诠	yuquan
虞翻	yufan
虞松	yusong
俞涉	yushe
俞氏	yushi
袁逢	yuanfeng
袁绍	yuanshao
袁术	yuanshu
袁谭	yuantan
袁熙	yuanxi
袁遗	yuanyi
袁胤	yuanyin
袁隗	yuanwei
越吉	yueji
云英	yunying
曾宣	cengxuan
张苞	zhangbao
张宝	zhangbao
张布	zhangbu
张超	zhangchao
张承	zhangcheng
张纯	zhangchun
张达	zhangda
张当	zhangdang
张范	zhangfan
张飞	zhangfei
张合	zhanghe
张横	zhangheng
张衡	zhangheng
张虎	zhanghu
张华	zhanghua
张皇后	zhanghuanghou
张缉	zhangji
张济	zhangji
张既	zhangji
张俭	zhangjian
张角	zhangjiao
张节	zhangjie
张津	zhangjin
张举	zhangju
张均	zhangjun
张峻	zhangjun
张纮	zhanghong
张梁	zhangliang
张辽	zhangliao
张陵	zhangling
张鲁	zhanglu
张茂	zhangmao
张弥	zhangmi
张明	zhangming
张南	zhangnan
张普	zhangpu
张球	zhangqiu
张让	zhangrang
张任	zhangren
张尚	zhangshang
张绍	zhangshao
张世平	zhangshiping
张氏	zhangshi
张爽	zhangshuang
张松	zhangsong|zhanga
张肃	zhangsu
张特	zhangte
张卫	zhangwei
张温	zhangwen
张武	zhangwu
张先	zhangxian
张象	zhangxiang
张休	zhangxiu
张绣	zhangxiu
张勋	zhangxun
张燕	zhangyan
张杨	zhangyang
张裔	zhangyi
张翼	zhangyi
张音	zhangyin
张英	zhangying
张约	zhangyue
张允	zhangyun
张昭	zhangzhao|zhanga
张著	zhangzhu
张遵	zhangzun
张嶷	zhangyi
张悌	zhangti
张邈	zhangmiao
张韬	zhangtao
张闿	zhangkai
赵昂	zhaoang
赵范	zhaofan
赵广	zhaoguang
赵弘	zhaohong
赵萌	zhaomeng
赵融	zhaorong
赵统	zhaotong
赵颜	zhaoyan
赵彦	zhaoyan
赵月	zhaoyue
赵云	zhaoyun|zhaoa
赵直	zhaozhi
赵忠	zhaozhong
赵咨	zhaozi
赵俨	zhaoyan
赵岐	zhaoqi
赵岑	zhaocen
赵衢	zhaoqu
赵韪	zhaowei
赵祚	zhaozuo
赵睿	zhaorui
郑宝	zhengbao
郑度	zhengdu
郑浑	zhenghun
郑伦	zhenglun
郑泰	zhengtai
郑文	zhengwen
郑玄	zhengxuan
郑袤	zhengmao
脂习	zhixi
钟会	zhonghui
钟进	zhongjin
钟邵	zhongshao
钟绅	zhongshen
钟毓	zhongyu
钟缙	zhongjin
钟繇	zhongyao
种拂	zhongfu
种辑	zhongji
仲长统	zhongchangtong
周毖	zhoubi
周仓	zhoucang
周平	zhouping
周群	zhouqun
周善	zhoushan
周尚	zhoushang
周泰	zhoutai
周循	zhouxun
周旨	zhouzhi
周胤	zhouyin
周奂	zhouhuan
周瑜	zhouyu|zhoua
周昕	zhouxin
周舫	zhoufang
州泰	zhoutai
朱褒	zhubao
朱恩	zhuen
朱芳	zhufang
朱光	zhuguang
朱桓	zhuhuan
朱灵	zhuling
朱然	zhuran
朱太后	zhutaihou
朱异	zhuyi
朱赞	zhuzan
朱治	zhuzhi
诸葛珪	zhugegui
诸葛诞	zhugedan
诸葛均	zhugejun
诸葛亮	zhugeliang|zhugea
诸葛尚	zhugeshang
诸葛绪	zhugexu
诸葛玄	zhugexuan
诸葛原	zhugeyuan
诸葛瞻	zhugezhan
诸葛恪	zhugeke
诸葛瑾	zhugejin|zhugea
诸葛虔	zhugeqian
诸葛靓	zhugeliang
祝融夫人	zhurongfuren
紫虚上人	zixushangren
宗宝	zongbao
宗预	zongyu
邹靖	zoujing
邹氏	zoushi
租调制	zutiaozhi
祖茂	zumao
祖弼	zubi
左慈	zuoci
左丰	zuofeng
左灵	zuoling
左咸	zuoxian
左贤王	zuoxianwang
兀突骨	wutugu
蒯良	kuailiang
蒯越	kuaiyue
谯周	qiaozhou
邴原	bingyuan
邺城	yecheng
郗虑	xilv
荀彧	xunyu
荀爽	xunshuang
荀正	xunzheng
荀攸	xunyou|xuna
荀谌	xunchen|xunshen
荀勖	xunxu
荀恺	xunkai
荀恽	xunyun
荀绲	xungun
奚泥	xini
岑昏	cenhun
岑威	cenwei
闵贡	mingong
阚泽	kanze|kana
泠苞	lingbao
潼关之战	tongguanzhizhan
濮阳兴	puyangxing
蹇硕	jianshuo
妫览	guilan
缪袭	miuxi
轲比能	kebineng
晏明	yanming
爰邵	yuanshao
滕循	tengxun
滕胤	tengyin
爨习	cuanxi
祢衡	miheng
眭固	guigu
眭元进	guiyuanjin
窦武	douwu
笮融	zerong
貂婵	diaochan|diaoa
阿那	ana
北朝	beichao
北齐	beiqi
北魏	beiwei
北周	beizhou
并州	bingzhou
长安	changan
刺史	cishi
大都督	dadudu
大行台	daxingtai
道武帝	daowudi
定州	dingzhou
东晋	dongjin
东魏	dongwei
都督	dudu
杜洛周	duluozhou
段荣	duanrong
尔朱荣	erzhurong
尔朱兆	erzhuzhao
费穆	feimu
分裂	fenlie
抚冥	fuming
高车	gaoche
高澄	gaocheng
高欢	gaohuan
高洋	gaoyang
高岳	gaoyue
葛荣	gerong
公爵	gongjue
贵族	guizu
韩轨	hangui
寒山	hanshan
汉族	hanzu
豪强地主	haoqiangdizhu
河南	henan
河南道	henandao
贺拔胜	hebasheng
恒州	hengzhou
怀荒	huaihuang
怀朔	huaishuo
江苏	jiangsu
节闵帝	jiemindi
晋阳	jinyang
荆州	jingzhou
开府仪同三司	kaifuyitongsansi
李弼	libi
梁武帝	liangwudi
流民	liumin
六镇起义	liuzhenqiyi
洛阳	luoyang
慕容绍宗	murongshaozong
南北朝	nanbeichao
南朝	nanchao
彭城	pengcheng
破六韩拔陵	poliuhanbaling
仆射	puye
酋长	qiuzhang
泅水	qiushui
柔然	rouran
柔玄	rouxuan
汝南	runan
山胡	shanhu
尚书	shangshu
社会矛盾	shehuimaodun
寿阳	shouyang
朔州	shuozhou
司空	sikong
司马氏	simashi
司徒	situ
司州	sizhou
太昌	taichang
太傅	taifu
太清	taiqing
天保	tianbao
天平	tianping
拓跋	tuoba
王思政	wangsizheng
王延年	wangyannian
王则	wangze
韦孝宽	weixiaokuan
文帝	wendi
涡阳	guoyang
沃野	woye
武川	wuchuan
武定	wuding
五胡	wuhu
西魏	xiwei
鲜卑	xianbei
县公	xiangong
襄州	xiangzhou
萧渊明	xiaoyuanming
萧正德	xiaozhengde
孝静帝	xiaojingdi
孝文帝	xiaowendi
孝武帝	xiaowudi
孝庄帝	xiaozhuangdi
兴和	xinghe
秀容	xiurong
徐州	xuzhou
悬瓠	xuanhu
永熙	yongxi
宇文泰	yuwentai
玉壁	yubi
元宝炬	yuanbaoju
元恭	yuangong
元善见	yuanshanjian
元象	yuanxiang
元修	yuanxiu
云中	yunzhong
镇民	zhenmin
中山国	zhongshanguo
中山王	zhongshanwang
丞相	chengxiang
兖州	yanzhou
谯城	qiaocheng
邺城	yecheng
潼关	tongguan
骠骑大将军	piaoqidajiangjun
窦泰	doutai
